epoch,steps,processed_samples,loss,feature_mean,feature_std,embedding_variance,learning_rate,all_metrics_finite,epoch_wall_seconds,cuda_max_memory_allocated_bytes,collapse_threshold_breached,collapse_consecutive_epochs
1,20,640,-0.00971067625505384,-0.06456175744533539,0.10479771047830581,0.999902555346489,0.00625,True,39.66426530666649,5562988544,False,0
2,20,640,-0.050634970981627704,-0.0643389444798231,0.11204413175582886,0.9999028146266937,0.006248458001142911,True,38.49512665346265,5562988544,False,0
3,20,640,-0.1130714725703001,-0.0636117234826088,0.12401767522096634,0.9999052971601486,0.006243833526338349,True,37.692144895903766,5562988544,False,0
4,20,640,-0.1919908493757248,-0.06331111174076795,0.13590620085597038,0.9999090194702148,0.006236131139384625,True,40.05838306248188,5562988544,False,0
5,20,640,-0.284080221503973,-0.06468268856406212,0.14353042617440223,0.9999136179685593,0.006225358441607744,True,33.4687953479588,5562988544,False,0
6,20,640,-0.36735585182905195,-0.06703543998301029,0.1477065749466419,0.9999177724123001,0.006211526064359805,True,36.81260766368359,5562988544,False,0
7,20,640,-0.4605838984251022,-0.06875872910022736,0.1528702311217785,0.9999223828315735,0.006194647658527152,True,40.12443945463747,5562988544,False,0
8,20,640,-0.5413746207952499,-0.07382399402558804,0.1581984207034111,0.9999258875846863,0.006174739881058586,True,39.21619977988303,5562988544,False,0
9,20,640,-0.5922183990478516,-0.0759642917662859,0.1567747712135315,0.9999291449785233,0.006151822378526972,True,36.08883159980178,5562988544,False,0
10,20,640,-0.6235187768936157,-0.0771866612136364,0.1547139346599579,0.9999326258897782,0.006125917767740447,True,39.43587838113308,5562988544,False,0
11,20,640,-0.6669783622026444,-0.07877988032996655,0.16144766807556152,0.9999351590871811,0.0060970516134223555,True,39.40925725828856,5562988544,False,0
12,20,640,-0.6943115085363388,-0.07998008243739604,0.1593744896352291,0.9999375015497207,0.006065252402981955,True,41.386634767986834,5562988544,False,0
13,20,640,-0.7256309241056442,-0.07779845595359802,0.16477034687995912,0.9999391198158264,0.006030551518400786,True,42.32630541548133,5562988544,False,0
14,20,640,-0.7424979746341706,-0.07683032378554344,0.16534216627478598,0.9999408811330796,0.005992983205262441,True,40.69642106350511,5562988544,False,0
15,20,640,-0.7637358367443084,-0.07948151603341103,0.1652925655245781,0.9999424099922181,0.005952584538956311,True,38.98760524857789,5562988544,False,0
16,20,640,-0.7894515603780746,-0.07834496349096298,0.16767908856272698,0.9999427914619445,0.00590939538808865,True,44.70258504990488,5562988544,False,0
17,20,640,-0.7788144379854203,-0.0790027741342783,0.17132091596722604,0.999943009018898,0.005863458375137074,True,35.41803690697998,5562988544,False,0
18,20,640,-0.8046255558729172,-0.0779252327978611,0.1723279096186161,0.9999439686536788,0.005814818834387325,True,34.64090620819479,5562988544,False,0
19,20,640,-0.8166136503219604,-0.07680249288678169,0.17366137579083443,0.9999445468187332,0.005763524767193799,True,39.83366275951266,5562988544,False,0
20,20,640,-0.8108529150485992,-0.0775049615651369,0.17694682702422143,0.9999447733163833,0.005709626794608008,True,38.600060226395726,5562988544,False,0
21,20,640,-0.8330073386430741,-0.08037091344594956,0.17519733682274818,0.999945217370987,0.005653178107421713,True,38.49558460339904,5562988544,False,0
22,20,640,-0.8323036372661591,-0.07846911698579788,0.1774006649851799,0.9999455064535141,0.005594234413674034,True,42.180617964826524,5562988544,False,0
23,20,640,-0.8367920398712159,-0.0796465002000332,0.17630259767174722,0.9999456763267517,0.005532853883674344,True,37.19210084248334,5562988544,False,0
24,20,640,-0.8345406413078308,-0.07940001264214516,0.17567258551716805,0.9999455690383912,0.0054690970925951885,True,40.34672314487398,5562988544,False,0
25,20,640,-0.8533977955579758,-0.07979300580918788,0.178507748991251,0.999946442246437,0.005403026960691913,True,39.67545863892883,5562988544,False,0
26,20,640,-0.8581602603197098,-0.07951234355568886,0.18025069385766984,0.9999468356370926,0.005334708691207963,True,35.76374042965472,5562988544,False,0
27,20,640,-0.8651007950305939,-0.08014716319739819,0.1802002102136612,0.9999467372894287,0.005264209706027154,True,33.97361100278795,5562988544,False,0
28,20,640,-0.8592869490385056,-0.08143332786858082,0.18081516325473784,0.9999472111463547,0.005191599579136414,True,41.50684859789908,5562988544,False,0
29,20,640,-0.8699278414249421,-0.08053151443600655,0.18252078890800477,0.9999476909637451,0.005116949967964657,True,37.81789502967149,5562988544,False,0
30,20,640,-0.8752709418535233,-0.08024819567799568,0.1839447297155857,0.999947926402092,0.005040334542665554,True,38.491950783878565,5562988544,False,0
31,20,640,-0.8754843145608902,-0.08081215135753154,0.18575235456228256,0.9999485671520233,0.004961828913413981,True,37.32438167836517,5562988544,False,0
32,20,640,-0.8694775521755218,-0.08207244761288165,0.186434293538332,0.9999486923217773,0.004881510555787911,True,46.26933842897415,5562988544,False,0
33,20,640,-0.8903901278972626,-0.0804463054984808,0.18946017995476722,0.9999495446681976,0.004799458734309366,True,37.77927775122225,5562988544,False,0
34,20,640,-0.8821492195129395,-0.07886036485433578,0.19574131816625595,0.9999497681856155,0.004715754424219913,True,42.29544092155993,5562988544,False,0
35,20,640,-0.8840258628129959,-0.0777109507471323,0.1967659816145897,0.9999505579471588,0.004630480231567862,True,36.46131248958409,5562988544,False,0
36,20,640,-0.8855713218450546,-0.07969783172011376,0.1957698367536068,0.9999507158994675,0.004543720311686086,True,35.24129932373762,5562988544,False,0
37,20,640,-0.8829819053411484,-0.08092629127204418,0.19857532903552055,0.9999510824680329,0.004455560286140854,True,36.5965136596933,5562988544,False,0
38,20,640,-0.8869453430175781,-0.0821614183485508,0.198522662371397,0.9999514997005463,0.004366087158233691,True,35.58131839521229,5562988544,False,0
39,20,640,-0.8973907977342606,-0.08160460889339446,0.19893762692809105,0.9999521315097809,0.0042753892271396214,True,35.221800761297345,5562988544,False,0
40,20,640,-0.9042059928178787,-0.07986679710447789,0.20260120630264283,0.999952495098114,0.0041835560007665385,True,34.96122833713889,5562988544,False,0
