class_id,class_name,precision,recall,f1,support
0,Burn,0.72,0.6666666666666666,0.6923076923076923,81
1,Crack,0.6086956521739131,0.5833333333333334,0.5957446808510638,24
2,Dent,0.7894736842105263,0.8108108108108109,0.8,37
3,Material missing,0.6774193548387096,0.65625,0.6666666666666666,32
4,Tears,1.0,0.7,0.8235294117647058,10
5,Tip curl,1.0,0.6666666666666666,0.8,3
6,corrosion,0.37373737373737376,0.3394495412844037,0.3557692307692308,109
7,background,0.6656151419558359,0.7128378378378378,0.6884176182707994,296
