epoch,loss,ce_loss,supcon_loss,embedding_std,accuracy,macro_f1
1,1.063258836713824,1.063258836713824,0.0,0.0,0.48986486486486486,0.4379555716185258
2,0.5695765388520408,0.5695765388520408,0.0,0.0,0.5726351351351351,0.5924920327918324
3,0.4390088845203273,0.4390088845203273,0.0,0.0,0.5929054054054054,0.5801756246290457
4,0.32371579574371023,0.32371579574371023,0.0,0.0,0.5945945945945946,0.5957656931606544
5,0.2858095991103005,0.2858095991103005,0.0,0.0,0.5793918918918919,0.5846285355222518
6,0.24621580284542005,0.24621580284542005,0.0,0.0,0.6030405405405406,0.5946253273789122
7,0.20416823926412664,0.20416823926412664,0.0,0.0,0.6351351351351351,0.591567782303727
8,0.20339571695192166,0.20339571695192166,0.0,0.0,0.6216216216216216,0.6185413426382437
9,0.17554052802623732,0.17554052802623732,0.0,0.0,0.625,0.6040653359399557
10,0.14473127638465044,0.14473127638465044,0.0,0.0,0.6368243243243243,0.638452082731428
11,0.14765092038430308,0.14765092038430308,0.0,0.0,0.6418918918918919,0.6417399349158269
12,0.1328814484967628,0.1328814484967628,0.0,0.0,0.6114864864864865,0.6135171112248123
13,0.11161945289439311,0.11161945289439311,0.0,0.0,0.6486486486486487,0.653121517829027
14,0.09596406726098927,0.09596406726098927,0.0,0.0,0.625,0.6170601609145379
15,0.08954587864791047,0.08954587864791047,0.0,0.0,0.6452702702702703,0.6158126811193037
16,0.09026690212329982,0.09026690212329982,0.0,0.0,0.6469594594594594,0.6290181973315352
17,0.08149080856528139,0.08149080856528139,0.0,0.0,0.6351351351351351,0.6392156196798517
18,0.0752136438002142,0.0752136438002142,0.0,0.0,0.6570945945945946,0.638249228682416
19,0.064385441412905,0.064385441412905,0.0,0.0,0.6469594594594594,0.6533746826406035
20,0.06054808348888093,0.06054808348888093,0.0,0.0,0.6452702702702703,0.6570922288267484
21,0.061421520855001174,0.061421520855001174,0.0,0.0,0.6486486486486487,0.6297801411757331
22,0.05969603809912058,0.05969603809912058,0.0,0.0,0.6554054054054054,0.6656121017241897
23,0.06496349650348344,0.06496349650348344,0.0,0.0,0.6452702702702703,0.6400097182465463
24,0.0498518897706016,0.0498518897706016,0.0,0.0,0.643581081081081,0.6150123649809198
25,0.0361920105878964,0.0361920105878964,0.0,0.0,0.6638513513513513,0.6468380028338987
26,0.03147689752004111,0.03147689752004111,0.0,0.0,0.6537162162162162,0.6437104142510699
27,0.029502435153317866,0.029502435153317866,0.0,0.0,0.643581081081081,0.630991330859609
28,0.034288439884970164,0.034288439884970164,0.0,0.0,0.6503378378378378,0.6189527231255814
29,0.034326622877593665,0.034326622877593665,0.0,0.0,0.6469594594594594,0.6138527472180498
30,0.05055070210595455,0.05055070210595455,0.0,0.0,0.6452702702702703,0.636066197590934
31,0.05317308628669753,0.05317308628669753,0.0,0.0,0.6503378378378378,0.6276841886154195
32,0.02914086907901941,0.02914086907901941,0.0,0.0,0.6706081081081081,0.6540714373983079
33,0.039338403497638674,0.039338403497638674,0.0,0.0,0.6570945945945946,0.652549897460821
34,0.04356111095273664,0.04356111095273664,0.0,0.0,0.6655405405405406,0.6372532902004049
35,0.03506862703713737,0.03506862703713737,0.0,0.0,0.6554054054054054,0.6485351809383942
36,0.035426031539178386,0.035426031539178386,0.0,0.0,0.6300675675675675,0.6133884701787162
37,0.030054653678413062,0.030054653678413062,0.0,0.0,0.6655405405405406,0.661280021923717
38,0.03461712588501673,0.03461712588501673,0.0,0.0,0.6706081081081081,0.665176925913412
39,0.036278207312627896,0.036278207312627896,0.0,0.0,0.6570945945945946,0.6423262561238756
40,0.035910644472869464,0.035910644472869464,0.0,0.0,0.6587837837837838,0.6475844115044369
41,0.030935316730590794,0.030935316730590794,0.0,0.0,0.6554054054054054,0.6417610643228582
42,0.039923138280897906,0.039923138280897906,0.0,0.0,0.6283783783783784,0.6204760042286339
43,0.03410489464364063,0.03410489464364063,0.0,0.0,0.6570945945945946,0.6574260545404411
44,0.025715021663720573,0.025715021663720573,0.0,0.0,0.6368243243243243,0.6126700387119547
45,0.029686460033129743,0.029686460033129743,0.0,0.0,0.6402027027027027,0.6377192290996317
46,0.019759352720602995,0.019759352720602995,0.0,0.0,0.6469594594594594,0.6191086085482007
47,0.022125932533664724,0.022125932533664724,0.0,0.0,0.6503378378378378,0.6462447703666805
48,0.01874310117785776,0.01874310117785776,0.0,0.0,0.6368243243243243,0.6616852564578686
49,0.028252196867507403,0.028252196867507403,0.0,0.0,0.6469594594594594,0.6553506713192979
50,0.018060893453010263,0.018060893453010263,0.0,0.0,0.6351351351351351,0.6778044125787699
