seed,delta_mask_mAP50_95,delta_mask_recall,delta_fixed_F1,delta_FP,delta_FN,status
42,N/A,N/A,N/A,N/A,N/A,NOT_AVAILABLE_BY_GATE
43,N/A,N/A,N/A,N/A,N/A,NOT_AVAILABLE_BY_GATE
44,N/A,N/A,N/A,N/A,N/A,NOT_AVAILABLE_BY_GATE
