path,exists,size_bytes,decode_pass
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/results.png,True,507729,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/confusion_matrix.png,True,163819,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/confusion_matrix_normalized.png,True,206321,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/BoxF1_curve.png,True,303422,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/BoxPR_curve.png,True,185854,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/BoxP_curve.png,True,274534,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/BoxR_curve.png,True,249048,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/MaskF1_curve.png,True,301123,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/MaskPR_curve.png,True,184278,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/MaskP_curve.png,True,275595,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/MaskR_curve.png,True,241570,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/val_batch0_labels.jpg,True,269523,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed44/hard_treatment30/formal/ultralytics/treatment/val_batch0_pred.jpg,True,269976,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/confusion_matrix.png,True,163830,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/confusion_matrix_normalized.png,True,192942,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/BoxF1_curve.png,True,313727,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/BoxPR_curve.png,True,178978,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/BoxP_curve.png,True,279855,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/BoxR_curve.png,True,253460,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/MaskF1_curve.png,True,307419,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/MaskPR_curve.png,True,176428,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/MaskP_curve.png,True,282099,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/MaskR_curve.png,True,241836,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/val_batch0_labels.jpg,True,268852,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/baseline100/val_batch0_pred.jpg,True,269871,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/confusion_matrix.png,True,163852,True
