seed,effect,Mask_mAP50_95,Mask_R,fixed_F1,FP,FN
42,Control30-Baseline100,-0.018017473402579587,-0.08543098564385182,-0.022292256334809524,5.0,6.0
42,Treatment30-Control30,0.030354305380867197,0.12085561220540836,0.022033811857298136,-24.0,0.0
42,Treatment30-Baseline100,0.01233683197828761,0.03542462656155654,-0.0002584444775113881,-19.0,6.0
43,Control30-Baseline100,0.02889352405341289,0.03536074778511705,-0.004743625297388809,2.0,1.0
43,Treatment30-Control30,-0.0066732904277828076,0.00443260365482212,0.013629424011103397,16.0,-10.0
43,Treatment30-Baseline100,0.02222023362563008,0.03979335143993917,0.008885798713714588,18.0,-9.0
44,Control30-Baseline100,0.016603286260787886,0.0849833513129391,0.021942100202969772,31.0,-18.0
44,Treatment30-Control30,-0.040310844029455783,-0.12124261740776404,-0.05085164687550375,-26.0,26.0
44,Treatment30-Baseline100,-0.023707557768667897,-0.03625926609482494,-0.02890954667253398,5.0,8.0
