seed,image_stem,changed_pixel_count,changed_pixel_ratio,connected_components,largest_component_area,largest_component_ratio
0,991,1090,0.0026611328125,30,1023,0.00249755859375
0,992,4454,0.0108740234375,13,4421,0.01079345703125
0,995,36253,0.08850830078125,96,36029,0.08796142578125
0,996,27823,0.06792724609375,92,26791,0.06540771484375
0,997,2012,0.004912109375,58,1891,0.00461669921875
0,998,8095,0.01976318359375,135,6694,0.0163427734375
0,999,2113,0.00515869140625,41,2038,0.0049755859375
1,1,1360,0.0033203125,71,1237,0.00302001953125
1,100,1708,0.004169921875,235,1139,0.00278076171875
1,1001,864,0.002109375,13,833,0.00203369140625
1,1003,38221,0.09331298828125,82,38090,0.0929931640625
1,1004,2640,0.0064453125,55,1433,0.00349853515625
1,1005,48749,0.11901611328125,36,48679,0.11884521484375
1,1008,61479,0.15009521484375,51,61085,0.14913330078125
1,101,1201,0.00293212890625,67,900,0.002197265625
1,102,30176,0.073671875,206,29373,0.07171142578125
1,103,81489,0.19894775390625,239,80678,0.1969677734375
1,104,112656,0.2750390625,361,111900,0.273193359375
1,105,32470,0.0792724609375,376,28678,0.0700146484375
1,106,29889,0.07297119140625,120,28438,0.0694287109375
1,107,2338,0.0057080078125,483,729,0.00177978515625
1,108,2367,0.00577880859375,64,2186,0.0053369140625
1,109,23903,0.05835693359375,200,22110,0.0539794921875
1,110,4589,0.01120361328125,114,4330,0.0105712890625
1,111,40635,0.09920654296875,345,31068,0.075849609375
1,113,31493,0.07688720703125,557,27496,0.06712890625
1,114,4261,0.01040283203125,270,2491,0.00608154296875
1,115,72058,0.1759228515625,223,71534,0.1746435546875
1,117,9376,0.022890625,372,4435,0.01082763671875
1,119,69804,0.170419921875,140,69529,0.16974853515625
1,12,2663,0.00650146484375,87,2443,0.00596435546875
1,120,65115,0.15897216796875,311,64325,0.15704345703125
1,123,6584,0.01607421875,143,6303,0.01538818359375
1,124,12030,0.0293701171875,80,11846,0.0289208984375
1,129,21209,0.05177978515625,192,20158,0.0492138671875
1,13,780,0.001904296875,124,490,0.0011962890625
1,131,26117,0.06376220703125,131,25844,0.063095703125
1,132,38340,0.093603515625,196,35571,0.08684326171875
1,133,43318,0.1057568359375,349,37075,0.09051513671875
1,135,5743,0.01402099609375,214,3237,0.00790283203125
1,136,51922,0.1267626953125,329,24842,0.0606494140625
1,137,95069,0.23210205078125,337,70342,0.1717333984375
1,139,2269,0.00553955078125,67,1085,0.00264892578125
1,14,2871,0.00700927734375,115,2687,0.00656005859375
1,141,85800,0.20947265625,341,83291,0.20334716796875
1,143,1210,0.0029541015625,87,1023,0.00249755859375
1,144,49763,0.12149169921875,220,49336,0.12044921875
1,146,37746,0.0921533203125,723,35562,0.0868212890625
1,147,51908,0.126728515625,201,51489,0.12570556640625
1,148,73336,0.17904296875,635,71567,0.17472412109375
1,149,3320,0.00810546875,111,2468,0.006025390625
1,15,75686,0.1847802734375,271,74971,0.18303466796875
1,151,5143,0.01255615234375,915,1396,0.003408203125
1,153,6165,0.01505126953125,200,5775,0.01409912109375
1,154,5273,0.01287353515625,270,2957,0.00721923828125
1,155,58592,0.143046875,350,56321,0.13750244140625
1,156,53028,0.129462890625,293,49883,0.12178466796875
1,157,110993,0.27097900390625,733,108935,0.26595458984375
1,165,26761,0.06533447265625,203,26362,0.0643603515625
1,166,5570,0.0135986328125,646,2113,0.00515869140625
1,167,12028,0.029365234375,192,9416,0.02298828125
1,168,62503,0.15259521484375,154,62174,0.1517919921875
1,169,62699,0.15307373046875,402,57479,0.14032958984375
1,17,58515,0.14285888671875,336,56738,0.1385205078125
1,170,66719,0.16288818359375,192,66287,0.16183349609375
1,171,1472,0.00359375,104,1262,0.0030810546875
1,173,6692,0.016337890625,149,6374,0.0155615234375
1,175,59996,0.146474609375,286,59359,0.14491943359375
1,176,1219,0.00297607421875,166,729,0.00177978515625
1,177,84492,0.206279296875,247,50676,0.123720703125
1,179,50776,0.12396484375,640,48776,0.11908203125
1,18,32521,0.07939697265625,208,32026,0.0781884765625
1,180,1537,0.00375244140625,114,1326,0.0032373046875
1,182,364,0.000888671875,50,254,0.0006201171875
1,184,6949,0.01696533203125,693,2105,0.00513916015625
1,185,51618,0.1260205078125,231,51039,0.12460693359375
1,188,28760,0.07021484375,290,22477,0.05487548828125
1,189,1194,0.0029150390625,158,847,0.00206787109375
1,190,3086,0.0075341796875,66,2251,0.00549560546875
1,191,61527,0.15021240234375,289,58869,0.14372314453125
1,192,63216,0.1543359375,251,61427,0.14996826171875
1,193,78828,0.192451171875,643,66200,0.16162109375
1,195,21211,0.05178466796875,208,18311,0.04470458984375
1,196,1067,0.00260498046875,149,641,0.00156494140625
1,197,73770,0.1801025390625,181,73407,0.17921630859375
1,198,44969,0.10978759765625,177,43727,0.10675537109375
1,199,49077,0.11981689453125,266,48456,0.11830078125
1,2,5647,0.01378662109375,527,3400,0.00830078125
1,20,17679,0.04316162109375,234,16171,0.03947998046875
1,202,2813,0.00686767578125,99,2543,0.00620849609375
1,205,2886,0.0070458984375,576,749,0.00182861328125
1,206,6251,0.01526123046875,143,5997,0.01464111328125
1,207,21474,0.0524267578125,98,21240,0.05185546875
1,208,75406,0.1840966796875,254,72815,0.17777099609375
1,209,1827,0.00446044921875,92,1633,0.00398681640625
1,21,32247,0.07872802734375,169,26756,0.065322265625
1,210,3160,0.00771484375,125,2856,0.00697265625
1,213,70516,0.172158203125,690,68478,0.1671826171875
1,215,6365,0.01553955078125,215,5507,0.01344482421875
1,216,48617,0.11869384765625,283,45931,0.11213623046875
1,217,1756,0.004287109375,170,711,0.00173583984375
1,219,35034,0.0855322265625,267,34491,0.08420654296875
1,220,2652,0.006474609375,88,2474,0.0060400390625
1,221,4306,0.0105126953125,550,2520,0.00615234375
1,222,2461,0.00600830078125,105,2259,0.00551513671875
1,223,41284,0.100791015625,385,31366,0.0765771484375
1,224,30643,0.07481201171875,521,28162,0.0687548828125
1,225,77235,0.18856201171875,391,71273,0.17400634765625
1,227,60860,0.148583984375,260,60309,0.14723876953125
1,228,6951,0.01697021484375,228,6437,0.01571533203125
1,23,31850,0.0777587890625,730,29716,0.072548828125
1,233,1479,0.00361083984375,64,861,0.00210205078125
1,234,29885,0.07296142578125,866,27131,0.06623779296875
1,235,1233,0.00301025390625,65,1094,0.0026708984375
1,236,28981,0.07075439453125,211,27584,0.06734375
1,237,4479,0.01093505859375,132,2796,0.006826171875
1,238,4062,0.0099169921875,207,1381,0.00337158203125
1,239,1993,0.00486572265625,77,1401,0.00342041015625
1,24,68284,0.166708984375,160,48768,0.1190625
1,240,44572,0.108818359375,331,43782,0.1068896484375
1,243,5268,0.012861328125,158,2214,0.0054052734375
1,249,6316,0.015419921875,124,5225,0.01275634765625
1,250,1873,0.00457275390625,66,1277,0.00311767578125
1,252,73031,0.17829833984375,207,72460,0.176904296875
1,253,10717,0.02616455078125,370,7652,0.018681640625
1,254,6590,0.0160888671875,275,5991,0.01462646484375
1,255,72132,0.176103515625,267,70201,0.17138916015625
1,257,55825,0.13629150390625,875,48046,0.1172998046875
1,258,18930,0.0462158203125,161,16246,0.0396630859375
1,259,32729,0.07990478515625,152,32408,0.07912109375
1,26,1661,0.00405517578125,106,1482,0.0036181640625
1,260,42353,0.10340087890625,414,33472,0.08171875
1,261,60061,0.14663330078125,388,58997,0.14403564453125
1,263,32045,0.07823486328125,194,16995,0.04149169921875
1,264,6100,0.014892578125,104,4581,0.01118408203125
1,265,352,0.000859375,28,303,0.00073974609375
1,266,2284,0.005576171875,79,1081,0.00263916015625
1,268,65721,0.16045166015625,209,65190,0.1591552734375
1,269,3246,0.0079248046875,94,2362,0.0057666015625
1,27,73363,0.17910888671875,418,65117,0.15897705078125
1,270,67737,0.16537353515625,399,63312,0.1545703125
1,271,12680,0.03095703125,120,11477,0.02802001953125
