epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
31,227.412,1.90622,3.34877,2.53744,1.76715,0,0.36075,0.34193,0.29482,0.15883,0.41977,0.30559,0.28193,0.12046,2.16005,3.63049,3.21824,1.97348,0,0.00703,0.00703,0.00703
32,233.629,1.84092,3.27749,2.48653,1.7158,0,0.60175,0.28459,0.31182,0.17577,0.60175,0.28459,0.30332,0.17481,2.03463,3.77779,2.66338,1.84058,0,0.006931,0.006931,0.006931
33,239.971,1.87107,3.292,2.54866,1.72003,0,0.50798,0.32623,0.34536,0.18168,0.5325,0.3204,0.35201,0.16685,2.12577,3.50732,2.49636,1.84266,0,0.006832,0.006832,0.006832
34,246.274,1.83944,3.29318,2.46072,1.71551,0,0.66967,0.32883,0.37273,0.204,0.63261,0.31594,0.34604,0.18988,2.00097,3.34976,2.81916,1.77045,0,0.006733,0.006733,0.006733
35,253.534,1.84018,3.28175,2.47652,1.7385,0,0.32428,0.22155,0.24167,0.11426,0.31414,0.18987,0.19389,0.08521,2.17941,3.95974,3.94443,1.96055,0,0.006634,0.006634,0.006634
36,259.984,1.83219,3.19603,2.47188,1.71151,0,0.6096,0.24667,0.35634,0.15149,0.60148,0.23181,0.34648,0.1611,2.16034,3.54389,3.07001,1.96714,0,0.006535,0.006535,0.006535
37,266.361,1.8229,3.26348,2.4104,1.70012,0,0.34762,0.31115,0.27972,0.14292,0.33172,0.29125,0.26198,0.13361,2.13997,3.64562,3.27239,1.93687,0,0.006436,0.006436,0.006436
38,272.566,1.79961,3.15973,2.36053,1.64895,0,0.71814,0.302,0.37671,0.20531,0.75154,0.30433,0.36858,0.2011,2.16403,3.48582,2.58324,1.83768,0,0.006337,0.006337,0.006337
39,278.799,1.8024,3.16076,2.38689,1.65924,0,0.67477,0.31158,0.37932,0.21774,0.68371,0.3214,0.38782,0.18905,2.08698,3.38748,2.71168,1.84353,0,0.006238,0.006238,0.006238
40,285.024,1.81134,3.20221,2.39653,1.6789,0,0.35523,0.39412,0.34718,0.18309,0.35402,0.36962,0.33124,0.17063,2.06128,3.30892,2.55285,1.87044,0,0.006139,0.006139,0.006139
