confidence,TP,FP,FN,Precision,Recall,F1,prediction_count,recall_Burn,recall_Crack,recall_Dent,recall_Material missing,recall_Tears,recall_Tip curl,recall_corrosion
0.001,214,14053,82,0.014999649540898578,0.722972972972973,0.029389548856691615,14267,0.5925925925925926,0.5833333333333334,0.972972972972973,0.65625,1.0,0.6666666666666666,0.7614678899082569
0.005,204,4569,92,0.04274041483343809,0.6891891891891891,0.08048924837246005,4773,0.5925925925925926,0.5833333333333334,0.972972972972973,0.5625,0.9,0.6666666666666666,0.7064220183486238
0.01,193,2688,103,0.06699062825407845,0.652027027027027,0.1214982688070507,2881,0.5432098765432098,0.5833333333333334,0.972972972972973,0.53125,0.9,0.6666666666666666,0.6513761467889908
0.025,181,1223,115,0.12891737891737892,0.6114864864864865,0.21294117647058827,1404,0.5061728395061729,0.4583333333333333,0.972972972972973,0.53125,0.9,0.6666666666666666,0.5963302752293578
0.05,170,628,126,0.21303258145363407,0.5743243243243243,0.3107861060329068,798,0.43209876543209874,0.4166666666666667,0.972972972972973,0.5,0.9,0.6666666666666666,0.5688073394495413
0.1,157,323,139,0.32708333333333334,0.5304054054054054,0.404639175257732,480,0.3950617283950617,0.3333333333333333,0.9459459459459459,0.4375,0.9,0.6666666666666666,0.5229357798165137
0.15,144,195,152,0.4247787610619469,0.4864864864864865,0.45354330708661417,339,0.345679012345679,0.2916666666666667,0.9459459459459459,0.4375,0.9,0.6666666666666666,0.44954128440366975
0.2,133,134,163,0.49812734082397003,0.44932432432432434,0.4724689165186501,267,0.3333333333333333,0.20833333333333334,0.9459459459459459,0.40625,0.8,0.6666666666666666,0.3944954128440367
0.25,123,99,173,0.5540540540540541,0.4155405405405405,0.4749034749034749,222,0.2839506172839506,0.20833333333333334,0.9459459459459459,0.40625,0.8,0.6666666666666666,0.3394495412844037
0.3,114,71,182,0.6162162162162163,0.38513513513513514,0.474012474012474,185,0.25925925925925924,0.16666666666666666,0.8918918918918919,0.40625,0.7,0.6666666666666666,0.3119266055045872
0.4,102,40,194,0.7183098591549296,0.34459459459459457,0.4657534246575342,142,0.19753086419753085,0.125,0.8378378378378378,0.40625,0.6,0.6666666666666666,0.28440366972477066
0.5,89,17,207,0.839622641509434,0.30067567567567566,0.4427860696517413,106,0.16049382716049382,0.041666666666666664,0.7837837837837838,0.40625,0.5,0.3333333333333333,0.24770642201834864
