epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,239.96,1.88015,3.31843,2.56888,1.7596,0,0.60325,0.30448,0.34144,0.14874,0.49576,0.30231,0.31918,0.14086,2.22683,3.46798,2.71116,1.97994,0,0.007129,0.007129,0.007129
31,247.303,1.84006,3.29045,2.42715,1.7086,0,0.53501,0.25113,0.36368,0.17937,0.40375,0.30607,0.34651,0.1487,2.15265,3.53044,3.01035,1.92449,0,0.00703,0.00703,0.00703
32,254.572,1.80677,3.24563,2.42956,1.67242,0,0.63128,0.27412,0.33761,0.18873,0.56832,0.2525,0.32614,0.17661,2.21159,3.57681,2.83129,1.92878,0,0.006931,0.006931,0.006931
33,261.695,1.86005,3.28272,2.49225,1.71494,0,0.3744,0.4287,0.35795,0.18331,0.36665,0.41373,0.33803,0.17565,2.04347,3.43829,2.58254,1.80864,0,0.006832,0.006832,0.006832
34,269.047,1.80748,3.26374,2.4268,1.70718,0,0.24461,0.36864,0.30264,0.14455,0.23405,0.37818,0.27759,0.13584,2.08552,3.45409,2.60249,1.81021,0,0.006733,0.006733,0.006733
35,276.777,1.82313,3.24177,2.42236,1.72079,0,0.45758,0.38196,0.35629,0.17283,0.44156,0.3605,0.3375,0.17982,2.12512,3.39963,3.08242,1.92878,0,0.006634,0.006634,0.006634
36,284.403,1.81235,3.17029,2.4171,1.69195,0,0.39268,0.33521,0.29638,0.14595,0.39404,0.32396,0.26939,0.12358,2.22584,3.50717,3.00166,1.9918,0,0.006535,0.006535,0.006535
37,291.603,1.77428,3.21317,2.35104,1.66685,0,0.55329,0.40684,0.43224,0.22122,0.54134,0.39849,0.41148,0.22133,1.99442,3.22613,2.65282,1.81178,0,0.006436,0.006436,0.006436
38,299.02,1.76882,3.1128,2.29623,1.61082,0,0.62389,0.30833,0.28952,0.15601,0.58611,0.2731,0.27806,0.12866,2.19434,3.48979,2.66386,2.00087,0,0.006337,0.006337,0.006337
39,306.518,1.76451,3.09192,2.32457,1.62809,0,0.63958,0.30977,0.3694,0.18648,0.6051,0.30548,0.34722,0.17049,2.09204,3.47587,2.64129,1.897,0,0.006238,0.006238,0.006238
40,314.073,1.76601,3.19851,2.36468,1.6562,0,0.56397,0.23922,0.26975,0.1451,0.74588,0.19088,0.25496,0.12958,2.08928,3.35697,2.60717,1.82079,0,0.006139,0.006139,0.006139
41,321.211,1.73396,3.22262,2.30792,1.64975,0,0.60091,0.34927,0.42753,0.21459,0.57351,0.33977,0.39862,0.21896,2.12415,3.24923,2.5044,1.80581,0,0.00604,0.00604,0.00604
42,328.734,1.7381,3.07772,2.27453,1.62115,0,0.37564,0.35898,0.33624,0.17807,0.38273,0.34799,0.31941,0.15795,1.9992,3.23761,2.49099,1.72085,0,0.005941,0.005941,0.005941
43,336.208,1.75028,3.16054,2.26428,1.64001,0,0.50081,0.37578,0.42633,0.2074,0.52256,0.36516,0.41387,0.19642,2.0469,3.34666,2.61737,1.76488,0,0.005842,0.005842,0.005842
44,343.361,1.71799,3.12133,2.26008,1.62403,0,0.63011,0.40416,0.44373,0.24063,0.66515,0.40448,0.42945,0.23986,1.99631,3.12231,2.48084,1.74071,0,0.005743,0.005743,0.005743
45,350.627,1.74772,3.12905,2.2729,1.64174,0,0.6446,0.4073,0.46417,0.26691,0.64144,0.4028,0.45157,0.24126,1.92349,3.13604,2.28836,1.72161,0,0.005644,0.005644,0.005644
46,358.143,1.70692,3.09232,2.22905,1.60105,0,0.53707,0.45059,0.43557,0.23927,0.51639,0.4308,0.4113,0.22119,1.977,3.20144,2.38471,1.72032,0,0.005545,0.005545,0.005545
47,365.528,1.67845,2.98084,2.10703,1.55961,0,0.39869,0.51167,0.40845,0.22584,0.37941,0.46443,0.36318,0.20589,2.04072,3.32848,2.34835,1.81516,0,0.005446,0.005446,0.005446
48,374.586,1.70868,3.11075,2.19652,1.62582,0,0.56596,0.43239,0.42896,0.22252,0.58586,0.42814,0.40829,0.21632,2.06317,3.19147,2.26219,1.80837,0,0.005347,0.005347,0.005347
49,383.473,1.67313,3.07166,2.17547,1.57206,0,0.58347,0.41422,0.44715,0.23132,0.57392,0.39698,0.41433,0.18447,2.00835,3.24899,2.21475,1.75594,0,0.005248,0.005248,0.005248
50,391.105,1.67483,3.05347,2.14236,1.57782,0,0.60824,0.43295,0.46927,0.2541,0.59786,0.42602,0.44779,0.22872,1.87523,3.20256,2.26243,1.6279,0,0.005149,0.005149,0.005149
51,398.917,1.66639,3.03119,2.14142,1.57536,0,0.55749,0.47103,0.44879,0.24757,0.5312,0.44905,0.4108,0.20626,1.92734,3.09069,2.37933,1.66777,0,0.00505,0.00505,0.00505
52,405.942,1.63774,3.03019,2.11287,1.55056,0,0.57947,0.41419,0.45227,0.26519,0.63805,0.37102,0.4051,0.22027,1.9797,3.07584,2.16652,1.76906,0,0.004951,0.004951,0.004951
53,413.037,1.66347,3.02089,2.18688,1.57994,0,0.85176,0.3383,0.43421,0.23019,0.81079,0.31596,0.40043,0.20183,1.98626,3.40122,2.21945,1.79781,0,0.004852,0.004852,0.004852
54,420.366,1.69396,3.01898,2.14979,1.56745,0,0.6845,0.42057,0.44502,0.24996,0.67131,0.41252,0.40699,0.22634,2.00315,3.33988,2.22494,1.73156,0,0.004753,0.004753,0.004753
55,427.859,1.62886,2.98286,2.06402,1.52547,0,0.66349,0.41824,0.46326,0.23613,0.62643,0.40958,0.42828,0.23108,2.00544,3.03305,2.1586,1.74126,0,0.004654,0.004654,0.004654
56,435.832,1.65443,3.01172,2.12408,1.56848,0,0.52169,0.48718,0.46237,0.27297,0.49601,0.44695,0.4209,0.20846,1.93045,3.23609,2.10478,1.71056,0,0.004555,0.004555,0.004555
57,443.242,1.66792,2.99196,2.101,1.5538,0,0.60481,0.41684,0.46458,0.29384,0.60992,0.39115,0.43344,0.24606,1.89372,3.04273,2.1176,1.66382,0,0.004456,0.004456,0.004456
58,450.607,1.60321,2.90932,2.02278,1.51852,0,0.5807,0.45018,0.48513,0.26956,0.57237,0.41937,0.44258,0.22177,1.96061,3.23496,2.17398,1.72449,0,0.004357,0.004357,0.004357
59,457.793,1.64311,2.96131,2.08815,1.56553,0,0.52316,0.46308,0.47306,0.25499,0.51568,0.3991,0.40221,0.22216,1.9688,3.16741,2.09502,1.74672,0,0.004258,0.004258,0.004258
60,464.813,1.63389,2.98385,2.07454,1.53302,0,0.64078,0.46778,0.50426,0.29366,0.57674,0.45899,0.47035,0.25177,1.94998,3.0847,1.9949,1.70476,0,0.004159,0.004159,0.004159
61,472.158,1.59283,2.92502,2.00534,1.4956,0,0.6947,0.41732,0.48908,0.28218,0.71198,0.3973,0.46622,0.26533,1.88611,3.05443,2.05326,1.64055,0,0.00406,0.00406,0.00406
62,480.077,1.6244,2.98235,2.09001,1.53263,0,0.60894,0.43854,0.47944,0.28321,0.59711,0.42521,0.45389,0.25085,1.96446,3.05357,2.21748,1.72297,0,0.003961,0.003961,0.003961
63,487.695,1.5713,2.83209,2.03045,1.50524,0,0.70243,0.45971,0.51302,0.28911,0.66809,0.4443,0.47677,0.2554,1.89015,3.07534,2.16151,1.65423,0,0.003862,0.003862,0.003862
64,495.16,1.58127,2.83769,1.93801,1.48315,0,0.59254,0.52016,0.51797,0.28702,0.57984,0.51128,0.49115,0.2719,1.92491,2.99262,2.05217,1.70443,0,0.003763,0.003763,0.003763
65,502.34,1.59324,2.8708,1.95437,1.51947,0,0.59826,0.49045,0.53003,0.30647,0.57722,0.44,0.4842,0.27954,1.87131,2.92837,2.09439,1.67951,0,0.003664,0.003664,0.003664
66,509.599,1.57793,2.83847,1.96333,1.51518,0,0.645,0.46533,0.50345,0.31487,0.63266,0.45652,0.47971,0.27213,1.86598,2.97276,2.08924,1.6736,0,0.003565,0.003565,0.003565
67,516.808,1.57904,2.85634,1.95301,1.49489,0,0.64943,0.4108,0.48519,0.30569,0.63604,0.40551,0.46637,0.26778,1.78324,3.0099,1.99603,1.62281,0,0.003466,0.003466,0.003466
68,525.103,1.54848,2.88325,1.94437,1.48059,0,0.57487,0.5307,0.54385,0.3131,0.55537,0.49309,0.50841,0.26332,1.81374,2.8845,1.90066,1.6,0,0.003367,0.003367,0.003367
69,532.376,1.57979,2.85571,1.96864,1.49567,0,0.70716,0.42688,0.52737,0.30631,0.62334,0.37571,0.45592,0.26077,1.84262,3.08242,2.00359,1.65079,0,0.003268,0.003268,0.003268
70,540.557,1.58268,2.91551,1.97382,1.48958,0,0.6141,0.50227,0.5388,0.28871,0.58801,0.45999,0.49358,0.26645,1.86703,2.93348,1.97143,1.6958,0,0.003169,0.003169,0.003169
71,548.576,1.51272,2.76269,1.8377,1.44115,0,0.57589,0.50226,0.52567,0.30074,0.59537,0.46291,0.4874,0.26725,1.82015,2.87198,1.9766,1.60597,0,0.00307,0.00307,0.00307
72,556.148,1.49193,2.72845,1.81939,1.42799,0,0.69434,0.46813,0.57282,0.34496,0.74244,0.44848,0.52557,0.29911,1.81752,2.84917,1.89826,1.60671,0,0.002971,0.002971,0.002971
73,564.334,1.51455,2.77664,1.88443,1.47146,0,0.61599,0.46692,0.5319,0.32423,0.60396,0.45643,0.49634,0.27924,1.81442,2.89824,1.94993,1.63218,0,0.002872,0.002872,0.002872
74,572.12,1.5297,2.79966,1.89207,1.47357,0,0.70672,0.44445,0.52183,0.28943,0.73638,0.42873,0.47751,0.26703,1.83154,2.94536,1.94302,1.64978,0,0.002773,0.002773,0.002773
75,579.387,1.50435,2.80509,1.86546,1.45281,0,0.55044,0.52421,0.53337,0.30095,0.71676,0.43062,0.49506,0.28497,1.84717,2.86501,1.90789,1.62451,0,0.002674,0.002674,0.002674
76,586.968,1.46575,2.71819,1.80592,1.42417,0,0.65818,0.50231,0.564,0.33784,0.56261,0.46114,0.49231,0.27947,1.82434,2.8377,1.90983,1.59462,0,0.002575,0.002575,0.002575
77,594.493,1.49762,2.71885,1.8318,1.43043,0,0.65504,0.51867,0.53813,0.31813,0.59407,0.47466,0.48034,0.27493,1.84796,2.88897,1.93253,1.62606,0,0.002476,0.002476,0.002476
78,602.413,1.45444,2.7296,1.80954,1.41923,0,0.63324,0.51041,0.52723,0.3083,0.64809,0.42922,0.46739,0.26561,1.84493,2.91336,2.00772,1.63502,0,0.002377,0.002377,0.002377
79,610.166,1.48204,2.76153,1.80403,1.43349,0,0.72063,0.44892,0.55922,0.32071,0.75571,0.43298,0.50818,0.27333,1.89179,2.94312,1.92442,1.68389,0,0.002278,0.002278,0.002278
80,617.773,1.45334,2.63533,1.76528,1.40673,0,0.77025,0.421,0.53427,0.30219,0.74573,0.41431,0.49589,0.28431,1.77753,2.88672,1.8763,1.597,0,0.002179,0.002179,0.002179
81,624.943,1.44253,2.68017,1.74966,1.41376,0,0.65051,0.46288,0.51746,0.29479,0.63953,0.45078,0.48817,0.26865,1.84547,2.87708,1.9336,1.63404,0,0.00208,0.00208,0.00208
82,632.297,1.48546,2.66152,1.75141,1.40082,0,0.75528,0.47094,0.54295,0.31635,0.73589,0.45191,0.52052,0.28841,1.83904,2.87306,1.81407,1.6151,0,0.001981,0.001981,0.001981
83,639.734,1.48333,2.77445,1.79849,1.43383,0,0.64078,0.56208,0.58676,0.36623,0.77908,0.44473,0.53233,0.30416,1.73608,2.85896,1.7452,1.57932,0,0.001882,0.001882,0.001882
84,648.31,1.45814,2.69205,1.78724,1.42311,0,0.6367,0.51738,0.56795,0.34603,0.65373,0.47248,0.50482,0.29762,1.78016,2.83694,1.7974,1.56923,0,0.001783,0.001783,0.001783
85,655.821,1.45224,2.64531,1.72856,1.39928,0,0.69141,0.51145,0.57556,0.3434,0.66931,0.47122,0.52466,0.29895,1.76966,2.83145,1.77646,1.54921,0,0.001684,0.001684,0.001684
86,663.285,1.40967,2.63754,1.69779,1.38389,0,0.74394,0.54253,0.61864,0.343,0.65972,0.48973,0.53453,0.30962,1.79988,2.83476,1.80667,1.60615,0,0.001585,0.001585,0.001585
87,670.656,1.44974,2.64731,1.72493,1.40359,0,0.67823,0.53195,0.58366,0.33389,0.68159,0.49695,0.53908,0.30892,1.79761,2.7784,1.77209,1.60618,0,0.001486,0.001486,0.001486
88,678.01,1.41131,2.57816,1.66202,1.3656,0,0.70223,0.5322,0.58568,0.35988,0.6439,0.47271,0.51459,0.27986,1.79878,2.86528,1.7392,1.58088,0,0.001387,0.001387,0.001387
89,685.953,1.38748,2.53766,1.62347,1.36102,0,0.75979,0.54986,0.61032,0.35238,0.67626,0.49663,0.53164,0.28892,1.74483,2.8497,1.74957,1.55871,0,0.001288,0.001288,0.001288
90,693.38,1.41036,2.58733,1.65085,1.37232,0,0.76238,0.51194,0.57785,0.34619,0.76423,0.48628,0.5393,0.30002,1.74567,2.8311,1.70055,1.55809,0,0.001189,0.001189,0.001189
91,702.374,1.4431,2.5859,1.81249,1.47219,0,0.68989,0.53049,0.57405,0.33832,0.72238,0.48997,0.53456,0.30601,1.76723,2.7918,1.79325,1.60812,0,0.00109,0.00109,0.00109
92,709.754,1.42561,2.4967,1.73857,1.47033,0,0.61343,0.52953,0.57888,0.32806,0.62128,0.49008,0.5394,0.29043,1.76914,2.84171,1.7845,1.59388,0,0.000991,0.000991,0.000991
93,717.149,1.39369,2.49453,1.65765,1.4331,0,0.61591,0.57861,0.5895,0.34798,0.73224,0.46547,0.54023,0.29979,1.73579,2.81942,1.74466,1.59777,0,0.000892,0.000892,0.000892
94,725.186,1.38203,2.44278,1.6375,1.42944,0,0.77308,0.48216,0.56095,0.32755,0.77704,0.47293,0.52546,0.29079,1.73748,2.82009,1.76059,1.5872,0,0.000793,0.000793,0.000793
95,732.977,1.36185,2.43277,1.59822,1.41385,0,0.64036,0.58411,0.59194,0.3328,0.65012,0.51081,0.53736,0.3085,1.75448,2.79176,1.7236,1.59893,0,0.000694,0.000694,0.000694
96,740.368,1.34288,2.37214,1.57082,1.3898,0,0.72977,0.53665,0.61141,0.33806,0.66679,0.50503,0.55288,0.30413,1.74609,2.74134,1.69869,1.60065,0,0.000595,0.000595,0.000595
97,747.592,1.35268,2.40393,1.55845,1.38252,0,0.63183,0.61322,0.64411,0.36996,0.71363,0.47041,0.57857,0.31259,1.74248,2.75624,1.69587,1.59261,0,0.000496,0.000496,0.000496
98,755.061,1.33831,2.39419,1.56291,1.40311,0,0.70633,0.5299,0.62982,0.3629,0.78515,0.48291,0.57663,0.32661,1.76574,2.76813,1.69481,1.59338,0,0.000397,0.000397,0.000397
99,762.466,1.33361,2.38868,1.53229,1.39429,0,0.60544,0.58247,0.61929,0.36704,0.75758,0.49439,0.58036,0.32509,1.71318,2.74307,1.68126,1.55693,0,0.000298,0.000298,0.000298
100,770.468,1.33337,2.36864,1.51871,1.39485,0,0.76127,0.50356,0.61195,0.36439,0.7479,0.49753,0.57792,0.32493,1.72583,2.73443,1.68014,1.56567,0,0.000199,0.000199,0.000199
