epoch,loss,feature_std,embedding_std
1,-0.007761805650079623,0.10643887147307396,1.0078562438488006
2,-0.04285190971568227,0.10654603280127048,1.0078570365905761
3,-0.07546028289943933,0.10647816844284534,1.0078582644462586
4,-0.10481980554759503,0.10642479695379733,1.007859718799591
5,-0.14236169010400773,0.10677527338266372,1.0078607559204102
6,-0.17865778282284736,0.10618145577609539,1.0078620970249177
7,-0.22146790400147437,0.1063131183385849,1.007863461971283
8,-0.25852466002106667,0.10650253780186177,1.0078646838665009
9,-0.2987219899892807,0.10642078220844269,1.0078657150268555
10,-0.34197055697441103,0.10612429156899453,1.0078668117523193
11,-0.38482943922281265,0.10752875134348869,1.0078678011894227
12,-0.41619904041290284,0.10585444644093514,1.007868719100952
13,-0.437952621281147,0.10682982131838799,1.007869702577591
14,-0.4694723770022392,0.1061411090195179,1.0078704237937928
15,-0.4871204778552055,0.10677515007555485,1.0078711986541748
16,-0.5170162931084633,0.10660987719893456,1.0078717291355133
17,-0.5307842269539833,0.10660188123583794,1.0078724801540375
18,-0.5381631672382354,0.10595772340893746,1.0078729212284088
19,-0.5635500520467758,0.10624534040689468,1.0078735113143922
20,-0.5670831888914108,0.10691445730626584,1.0078739404678345
21,-0.5752345591783523,0.10679150223731995,1.0078744411468505
22,-0.5848477512598038,0.10637446641921997,1.00787473320961
23,-0.5841509491205216,0.10592932626605034,1.0078752756118774
24,-0.6049218952655793,0.10739964358508587,1.0078755497932435
25,-0.6122967749834061,0.1064544204622507,1.007875794172287
26,-0.6119373559951782,0.1061801217496395,1.0078761994838714
27,-0.6218980342149735,0.1065802000463009,1.0078765094280242
28,-0.6176829874515534,0.10728370286524296,1.007876807451248
29,-0.6143788158893585,0.10645816698670388,1.0078767240047455
30,-0.6349104791879654,0.10659921877086162,1.0078771233558654
31,-0.6255004346370697,0.10660407915711403,1.007877141237259
32,-0.6370593518018722,0.10693611055612565,1.0078773856163026
33,-0.6401177167892456,0.10687649101018906,1.0078775703907012
34,-0.6374690935015679,0.10667879432439804,1.0078777849674225
35,-0.6497784316539764,0.1065524846315384,1.0078781127929688
36,-0.6380546361207962,0.1064470112323761,1.007878041267395
37,-0.6446959167718888,0.10704160891473294,1.0078782498836518
38,-0.6534498125314713,0.10655659288167954,1.0078782737255096
39,-0.6566670179367066,0.1061404898762703,1.0078784286975861
40,-0.655881080031395,0.10588335394859313,1.0078784763813018
41,-0.6596727341413497,0.10568078830838204,1.0078786373138429
42,-0.6506846398115158,0.1059335358440876,1.007878488302231
43,-0.6615422487258911,0.10668744929134846,1.0078788578510285
44,-0.6598244786262513,0.10625271089375019,1.007878804206848
45,-0.6701282829046249,0.10564841032028198,1.0078791558742524
46,-0.6550077795982361,0.10596459321677684,1.007878941297531
47,-0.6612057954072952,0.10635361708700657,1.0078792095184326
48,-0.6855930715799332,0.10535778068006038,1.0078792929649354
49,-0.673890832066536,0.10610727071762086,1.0078794240951539
50,-0.6722946763038635,0.10606944598257542,1.007879388332367
51,-0.680283111333847,0.1067411683499813,1.007879489660263
52,-0.6689653873443604,0.10626590698957443,1.0078794717788697
53,-0.6828088968992233,0.10611195936799049,1.007879501581192
54,-0.6694462954998016,0.10643961355090141,1.0078795850276947
55,-0.6760490804910659,0.10714970380067826,1.0078794598579406
56,-0.6758956581354141,0.10688308142125606,1.0078796029090882
57,-0.6778065502643585,0.10663738623261451,1.0078796744346619
58,-0.6904451668262481,0.10653470754623413,1.0078797578811645
59,-0.676196014881134,0.10639177225530147,1.0078797101974488
60,-0.6934769958257675,0.10692091807723045,1.0078798294067384
61,-0.6857752114534378,0.10641556456685067,1.0078796863555908
62,-0.6772723913192749,0.10611002743244172,1.0078796446323395
63,-0.6881335407495499,0.10734224244952202,1.0078799962997436
64,-0.6795816451311112,0.10632865428924561,1.0078797876834868
65,-0.6944949477910995,0.10595340766012669,1.0078799188137055
66,-0.692232894897461,0.10739984065294265,1.0078800678253175
67,-0.6978406846523285,0.10660586170852185,1.0078803598880768
