image_id,edit_id,seed,family,outlier_type,reason,changed_pixel_ratio,mask_area_ratio,visible_change_ratio,connected_components,largest_component_ratio_lower_bound,image_level_changed_pixel_ratio,image_level_largest_component_ratio
18,seed42_edit01,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.01077880859375,0.0107470703125,0.6132627472833658,43,0.0002499318677325582,0.08039306640625,0.06568359375
185,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.00623779296875,0.0061767578125,0.32632529343479943,27,0.0002287688078703704,0.0082275390625,0.0078271484375
192,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.033046875,0.032783203125,0.7234913793103448,28,0.0011708286830357142,0.0395361328125,0.03834228515625
193,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.006708984375,0.00663818359375,0.5471925940833166,22,0.0003017356178977273,0.0228466796875,0.00951416015625
193,seed42_edit01,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.00396240234375,0.00383056640625,0.3419790758500436,136,2.8165929457720586e-05,0.0228466796875,0.00951416015625
205,seed42_edit01,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.003154296875,0.00313720703125,0.2976604123233727,108,2.9048213252314814e-05,0.04319091796875,0.03414794921875
21,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0309326171875,0.0306640625,0.6643042259480616,43,0.0007131177325581395,0.1690966796875,0.13058837890625
216,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.034443359375,0.03407470703125,0.6652209141604308,78,0.00043685521834935893,0.04244873046875,0.0409716796875
217,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0067578125,0.00671875,0.437450325862343,33,0.00020359848484848486,0.00982421875,0.0089501953125
220,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.05012939453125,0.0498974609375,0.7213751235352251,37,0.0013485800253378378,0.06017822265625,0.0575537109375
221,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0035498046875,0.00352783203125,0.3809649354073293,118,2.989688162076271e-05,0.01388671875,0.0026416015625
224,seed42_edit02,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.062314453125,0.0617919921875,0.6586343291350057,48,0.0012873331705729166,0.0892919921875,0.0705224609375
