seed,image_stem,changed_pixel_count,changed_pixel_ratio,connected_components,largest_component_area,largest_component_ratio
0,225,28907,0.07057373046875,151,27855,0.06800537109375
0,227,584,0.00142578125,51,504,0.00123046875
0,228,6396,0.015615234375,172,4221,0.01030517578125
0,23,8169,0.01994384765625,634,6046,0.0147607421875
0,233,819,0.00199951171875,72,700,0.001708984375
0,234,20601,0.05029541015625,695,18619,0.04545654296875
0,235,11304,0.02759765625,113,9086,0.0221826171875
0,236,73227,0.17877685546875,249,67000,0.16357421875
0,237,69429,0.16950439453125,452,40086,0.0978662109375
0,238,12424,0.03033203125,108,12238,0.0298779296875
0,239,7827,0.01910888671875,190,6043,0.01475341796875
0,24,36491,0.08908935546875,183,34644,0.084580078125
0,240,748,0.001826171875,156,339,0.00082763671875
0,243,43020,0.105029296875,228,23422,0.0571826171875
0,249,64961,0.15859619140625,301,59193,0.14451416015625
0,250,5043,0.01231201171875,114,4751,0.01159912109375
0,252,1276,0.003115234375,31,1225,0.00299072265625
0,253,22160,0.0541015625,356,19858,0.0484814453125
0,254,66062,0.1612841796875,259,64005,0.15626220703125
0,255,5690,0.0138916015625,273,4928,0.01203125
0,257,4264,0.01041015625,748,1098,0.0026806640625
0,258,7780,0.018994140625,183,5639,0.01376708984375
0,259,66871,0.16325927734375,227,66326,0.1619287109375
0,26,19295,0.04710693359375,244,10293,0.02512939453125
0,260,59443,0.14512451171875,229,58191,0.14206787109375
0,261,5121,0.01250244140625,274,1484,0.003623046875
0,263,15238,0.0372021484375,141,14965,0.03653564453125
0,264,65931,0.16096435546875,285,65339,0.15951904296875
0,265,15788,0.038544921875,138,15452,0.037724609375
0,266,7438,0.0181591796875,60,7313,0.01785400390625
0,268,3468,0.008466796875,107,3222,0.0078662109375
0,269,2360,0.00576171875,47,1216,0.00296875
0,27,2080,0.005078125,69,1956,0.004775390625
0,270,7340,0.017919921875,221,4279,0.01044677734375
0,271,1209,0.00295166015625,69,1045,0.00255126953125
0,272,10959,0.02675537109375,739,8262,0.0201708984375
0,273,75726,0.1848779296875,232,73697,0.17992431640625
0,274,697,0.00170166015625,69,584,0.00142578125
0,275,16084,0.039267578125,266,12887,0.03146240234375
