epoch,steps,processed_samples,loss,focal_loss,dice_loss,feature_mean,feature_std,p3_feature_std,p4_feature_std,p5_feature_std,logit_std,probability_mean,prediction_iou,prediction_precision,prediction_recall,target_positive_ratio,learning_rate,texture_transplant_count,photometric_count,blur_count,all_metrics_finite,epoch_wall_seconds,cuda_max_memory_allocated_bytes,collapse_threshold_breached,collapse_consecutive_epochs
17,41,656,0.040443738331881966,0.001644983344637539,0.03879875526195619,-0.03657246908036674,0.2596863385865359,0.1944940671688173,0.32221143856281187,0.26235351002797846,4.4059862974213395,0.006928319281830293,0.9345306809171434,0.9756770588317215,0.9567974258629884,0.007052910037157013,0.0004477357683661734,468,430,432,True,5.56645483803004,3334347776,False,0
18,41,656,0.03421784001516133,0.001179859204013355,0.033037980882132924,-0.036655924729700015,0.2587749364414835,0.19272481086777477,0.3200450343329732,0.2635549641237026,4.423813517500714,0.007041101378002544,0.9436360664294712,0.9782162472864019,0.9640054883030584,0.007126970988948171,0.00039604415459112036,423,444,456,True,5.528912498615682,3334347776,False,0
19,41,656,0.04085316581696999,0.001464639813071344,0.0393885257767468,-0.03749707192788279,0.25897906635834916,0.1917325578084806,0.31834881698212975,0.2668558242844372,4.343926493714496,0.007027356896731184,0.9370123492690842,0.975067211932816,0.960122117383641,0.00712622665777439,0.0003454915028125264,411,473,462,True,5.4365214658901095,3334347776,False,0
20,41,656,0.030142093259023457,0.000991227807301074,0.02915086542687765,-0.03801341039863059,0.2589806874350804,0.1915938443526989,0.3179376583273818,0.2674105596251604,4.404921171141834,0.006928882697915159,0.9506973985891677,0.9808809200099926,0.9686541225461881,0.007000806854992378,0.00029663167846210003,452,465,406,True,5.522809065878391,3334347776,False,0
21,41,656,0.031491577670705026,0.0009598789556326754,0.030531698610724474,-0.03700972602861684,0.2585315790360536,0.19219778841588556,0.32045008278474574,0.2629468659075295,4.437723002782682,0.007025866133229035,0.9488901756991812,0.9789021008899944,0.9687427539940066,0.007087149271150914,0.00025000000000000017,453,445,446,True,5.530691210180521,3334347776,False,0
22,41,656,0.036085336128386054,0.0013488727524484758,0.03473646320947787,-0.03654259679521002,0.2582552873991369,0.19304680824279785,0.3197243424450479,0.26199471150956505,4.519475308860221,0.007078691067673811,0.9465215145471041,0.9816002591415421,0.9635526276133715,0.0071958216225228655,0.00020610737385376354,423,451,462,True,5.573466740548611,3334347776,False,0
23,41,656,0.03252664935298082,0.001335621532478665,0.031191027745967957,-0.036530048200270025,0.2587620464524602,0.1931536012306446,0.32067028705666706,0.2624622510700691,4.582824869853694,0.00707830415993202,0.9451072220514194,0.9786964416871862,0.9649742227352709,0.007170886528201219,0.00016543469682057108,458,426,446,True,5.685871605761349,3334347776,False,0
24,41,656,0.02789281847000849,0.0008072889574644406,0.027085529594886595,-0.0366810342463536,0.25840152291263024,0.19286676659816648,0.31840838092129403,0.2639294212184301,4.577787864498976,0.00692655510700694,0.9540855505457017,0.9811384696441485,0.9720096928147834,0.006981826410060976,0.00012842758726130303,439,430,433,True,5.745874905958772,3334347776,False,0
25,41,656,0.02915180999240497,0.0010405192570476906,0.028111290640947296,-0.036522826709883,0.25871570892934875,0.19348170699142828,0.31907378609587506,0.26359163370074296,4.656342808793231,0.007008766142151705,0.9522912402265702,0.9820543132008213,0.9691248617497853,0.007080822456173781,9.549150281252637e-05,439,440,436,True,5.616055332124233,3334347776,False,0
26,41,656,0.02767568912993117,0.0008206173107482311,0.026855071870292107,-0.03631714870774649,0.25778019185957873,0.19319429194054952,0.3184717835449591,0.26167450009322746,4.603796516976705,0.006910599007203084,0.9535185723399376,0.9816434320384205,0.9709368128684773,0.006974383098323171,6.698729810778068e-05,418,435,459,True,5.584606246091425,3334347776,False,0
27,41,656,0.028564214695063306,0.0010609303994342776,0.027503284012399067,-0.03706048695537133,0.258598652675869,0.19359454730661904,0.3185243228586709,0.26367708786231714,4.658995779549203,0.006918394495165203,0.950890710451742,0.9823640457072734,0.9674147529709711,0.007015693478467987,4.322727117869953e-05,423,416,462,True,5.548370338976383,3334347776,False,0
28,41,656,0.028435978084439185,0.0009866392913575443,0.027449338901333692,-0.03646863724400357,0.2581109430004911,0.19326754568553553,0.3187666201009983,0.2622986632149394,4.679935106417028,0.007026346457168096,0.9524275532584101,0.979307222654567,0.9720361651311517,0.0070711461509146345,2.447174185242324e-05,453,433,428,True,5.376514138653874,3334347776,False,0
29,41,656,0.02695853265411243,0.001018380375703933,0.025940152203164448,-0.03628606197795248,0.2574485787531225,0.19325560912853335,0.31850730137127203,0.26058282575956204,4.634086294872005,0.006938466586445163,0.9543637471768349,0.9826802938146353,0.9707205830636862,0.0070153213128810975,1.092619963309716e-05,452,462,432,True,5.410377929918468,3334347776,False,0
30,41,656,0.030623951904112247,0.0010337289802519968,0.029590222893691644,-0.03680818858064287,0.25843192418900934,0.19322628509707568,0.3185797791655471,0.2634897083044052,4.640531958603278,0.006709010771861891,0.9522837025965085,0.9814109029412029,0.969693365709424,0.006777507502858232,2.7390523158633003e-06,450,425,423,True,5.682202169671655,3334347776,False,0
