Method,Type,Classifier_accuracy,Classifier_macro_F1,Stage1_conf,Stage2_threshold,Mask_P,Mask_R,Mask_F1,Mask_AP50,Mask_AP50_95,FP,FN,WrongClass,Latency_ms_per_image,Conclusion
Exp06 CE ROI,Classifier,0.6351351351351351,0.6778044125787699,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPLETE
Exp06 SupCon ROI,Classifier,0.6976351351351351,0.6936984075290706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SUPCON_POSITIVE
Exp07 Stage2 Mode A,Segmentation fixed-point,0.6976351351351351,0.6936984075290706,0.15,0.3,0.5062761506276151,0.40878378378378377,0.4523364485981308,N/A,N/A,118,175,6,27.949914246138544,NEGATIVE
Exp07 Stage2 Mode B,Segmentation fixed-point,0.6976351351351351,0.6936984075290706,0.15,0.7,0.5729166666666666,0.3716216216216216,0.4508196721311475,N/A,N/A,82,186,4,27.949914246138544,NEGATIVE
