Method,Type,Training_budget,Mask_P,Mask_R,Mask_mAP50,Mask_mAP50_95,Crack_R,Crack_AP50_95,Burn_R,Burn_AP50_95,corrosion_R,corrosion_AP50_95,FP,FN,Conclusion
Exp02 Baseline,model,100 epochs,0.66292,0.52302,0.53192,0.29898123412927496,0.27883,0.04675,0.25926,0.11245,0.3211,0.19783,99,173,PASS_WITH_NUMERICAL_WAIVER
Exp03 F1-best,operating_point,N/A,0.5540540540540541,0.4155405405405405,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,173,POSITIVE
Exp03 Recall95,operating_point,N/A,0.04274041483343809,0.6891891891891891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4569,92,POSITIVE
Exp04 Crack-only,oneclass_model,100 epochs,N/A,N/A,N/A,N/A,0.16666666666666666,0.05548398702740557,N/A,N/A,N/A,N/A,N/A,N/A,NO_CLEAR_GAIN
Exp05 Control,model,30 epochs / 668 samples per epoch,0.7277493965582085,0.43759266732922925,0.514963101505378,0.2809637607266954,0.125,0.043766878015432595,0.18518518518518517,0.09941726153254402,0.25688073394495414,0.159730114023821,104,179,CONTROL
Exp05 Hard Mining,model,30 epochs / 668 samples per epoch,0.5791903261537934,0.5584482795346376,0.5357743104404221,0.3113180661075626,0.20833333333333334,0.049069935606229756,0.345679012345679,0.12441346134341899,0.29357798165137616,0.1664142845516502,80,179,POSITIVE_CANDIDATE
