epoch,loss,ce_loss,supcon_loss,embedding_std,accuracy,macro_f1
1,1.4523595968882244,1.0334432415473156,4.189163464766282,0.7983671931120065,0.5489864864864865,0.48893531596509765
2,0.899236417733706,0.5305532545615466,3.686831535437168,0.8440568554095733,0.5912162162162162,0.5762484602236546
3,0.7454755703608195,0.3989691314024803,3.4650643116388564,0.8574751890622653,0.5844594594594594,0.6033198473445206
4,0.637196231346864,0.30477056977076405,3.324256542401436,0.8620050518940656,0.6148648648648649,0.5999332007204009
5,0.5552309201313899,0.23448266031650397,3.2074825702569423,0.8657994193908496,0.6131756756756757,0.610724981863763
6,0.5147176201526935,0.2000159386258859,3.1470167698004308,0.872826065772619,0.6351351351351351,0.6256790237375167
7,0.46291815699675143,0.15656678168437418,3.063513694665371,0.8810255817877941,0.6182432432432432,0.5890289777183888
8,0.47028087346981734,0.16369032286680663,3.065905436491355,0.883497919791784,0.6385135135135135,0.6416448640856751
9,0.4420916109513014,0.13998577285271424,3.0210583332257395,0.8887889446356357,0.643581081081081,0.6410535526521917
10,0.412543393098391,0.11366208480336727,2.9888130395840378,0.888945588698754,0.6469594594594594,0.6529287866698248
11,0.40223141740529966,0.10399947592463249,2.982319373350877,0.8875583456112788,0.6418918918918919,0.64337976251571
12,0.39083539293362546,0.09554336888667865,2.9529202045538487,0.8890429704617231,0.6418918918918919,0.619865764887751
13,0.37558248257025695,0.08241493030427358,2.9316754707923303,0.8909070400091318,0.6418918918918919,0.6496990111437089
14,0.3547099706454155,0.06409003131855757,2.9061993268819957,0.8958628345758487,0.6587837837837838,0.6318443857625717
15,0.34877826617314267,0.060063961176918104,2.887142994464972,0.9042322436968485,0.6756756756756757,0.6538272680182273
16,0.3438529242307712,0.05539626580400345,2.8845665271465597,0.9012228922966199,0.6722972972972973,0.6473600508996471
17,0.3444485251720135,0.05580669929249547,2.8864182142110972,0.9072418533838712,0.6469594594594594,0.6336202883920581
18,0.32560041623237806,0.04027394257867948,2.8532646802755504,0.9083397250909072,0.660472972972973,0.6496342409947975
19,0.31961342768791395,0.036028907395517215,2.8358451280838404,0.9150916781180944,0.6402027027027027,0.6461639087544734
20,0.33857667675385106,0.0517869665979957,2.8678970336914062,0.9099244719896561,0.6233108108108109,0.6344585800939735
21,0.328959869268613,0.043196210088447116,2.8576365434206448,0.9098111788431803,0.643581081081081,0.6476802564489132
22,0.32868074683042675,0.04330796890486127,2.8537277441758375,0.916134394132174,0.6537162162162162,0.669466586823618
23,0.3174862135679294,0.0342241199567723,2.832620871372712,0.9198291637958624,0.6706081081081081,0.6745291612250619
24,0.3083648979663849,0.025589893530242335,2.8277499920282607,0.9187895686198504,0.6638513513513513,0.6487373898420854
25,0.3003074404520866,0.01941650838423998,2.8089092511397142,0.9189111024905474,0.6672297297297297,0.6633039127251725
26,0.30325366594852543,0.0215219037893873,2.817317540828998,0.9211488962173462,0.6570945945945946,0.644138589994556
27,0.2943159907292097,0.014673046427420698,2.796429407902253,0.925190289815267,0.6722972972972973,0.6507291486809399
28,0.2996432498479501,0.01870398235340149,2.8093926234123034,0.928482880959144,0.6722972972972973,0.6494055711197255
29,0.3065680922606053,0.024220919129080497,2.8234716928922214,0.9300904701917599,0.6503378378378378,0.6390270681737593
30,0.316671398969797,0.03248923037869808,2.841821646079039,0.9251905236488733,0.6418918918918919,0.6132210674222525
31,0.31590823638133514,0.03142595307853741,2.8448227552267222,0.9296577802071204,0.6537162162162162,0.6296133539704974
32,0.31765658809588504,0.03296696158269277,2.846896232702793,0.9276904601317185,0.668918918918919,0.6325845907178014
33,0.3094090292086968,0.026976587250828743,2.824324363317245,0.9298626322012681,0.6587837837837838,0.6483476258657292
34,0.3114378368243193,0.028395351452323105,2.8304247978406076,0.9277639939234807,0.660472972972973,0.6497725874008983
35,0.30688440876129347,0.025227069568175536,2.8165733264042783,0.9244629450333424,0.660472972972973,0.660062484760765
36,0.3054504830103654,0.023625125589135747,2.818253511037582,0.9254855238474332,0.6418918918918919,0.649406934660787
37,0.2986534788058354,0.01794244234378521,2.8071102790343456,0.9316939971385858,0.6722972972972973,0.6706797052054947
38,0.2907860783430246,0.01172870408015278,2.790573688653799,0.9295606735425118,0.6739864864864865,0.6794859374594289
39,0.2916241272901877,0.012014075325658688,2.796100457509359,0.9310107338122833,0.6739864864864865,0.6752810145743278
40,0.2905702178294842,0.011551588328961188,2.7901862278962746,0.9378658533096313,0.668918918918919,0.6762541505413355
41,0.2857567759660574,0.007683575323496301,2.7807319225409093,0.9379180715634272,0.6790540540540541,0.6828282744937493
42,0.2889503171810737,0.009673651507816827,2.7927666199512973,0.9400912538552896,0.6976351351351351,0.6936984075290706
43,0.28407693214905566,0.0067552023818000006,2.7732172929323635,0.9437501247112567,0.6824324324324325,0.6585987680375401
44,0.28872665151571614,0.009620875905220134,2.7910577089358597,0.9411354752687308,0.652027027027027,0.6632819573015681
45,0.28660155565310746,0.007984329498587893,2.7861722065852237,0.9377734110905573,0.660472972972973,0.6558113547624056
46,0.2891081411104936,0.01057910284278198,2.7852903329409084,0.93990691502889,0.6722972972972973,0.6736403962145567
47,0.28676496484340763,0.008409778238274157,2.783551778548803,0.9391369223594666,0.668918918918919,0.6738330615833872
48,0.2876317493426494,0.009399691850352937,2.782320499420166,0.9475822433447226,0.660472972972973,0.6709813571335962
49,0.28963279724121094,0.011011395021341741,2.7862139420631604,0.9447288772998712,0.6638513513513513,0.6664573359831129
50,0.2838862576545813,0.006477994072692803,2.7740825628622985,0.942225836790525,0.6722972972972973,0.6812056124447886
