class_id,class_name,precision,recall,f1,support
0,Burn,0.7432432432432432,0.6790123456790124,0.7096774193548387,81
1,Crack,0.6666666666666666,0.6666666666666666,0.6666666666666666,24
2,Dent,0.8205128205128205,0.8648648648648649,0.8421052631578947,37
3,Material missing,0.7777777777777778,0.65625,0.711864406779661,32
4,Tears,1.0,0.8,0.8888888888888888,10
5,Tip curl,1.0,0.3333333333333333,0.5,3
6,corrosion,0.5384615384615384,0.44954128440366975,0.49,109
7,background,0.7042682926829268,0.7804054054054054,0.7403846153846154,296
