image_stem,seed,edit_count,families,total_refined_area_ratio,min_visible_change_ratio,mean_gray_difference,status
909,42,3,"A_small_low_contrast,A_small_low_contrast,A_small_low_contrast",0.00613037109375,0.9249291784702549,6.791184468719912,PASS
91,42,3,"B_diffuse_texture,C_crack_like_structural_evolution,B_diffuse_texture",0.0950439453125,0.9265864170010403,21.960502035826206,PASS
911,42,2,"A_small_low_contrast,B_diffuse_texture",0.08285400390625,0.9649459005277278,24.80528464504971,PASS
912,42,2,"B_diffuse_texture,C_crack_like_structural_evolution",0.04150390625,0.9817682926829269,22.123824013998394,PASS
913,42,1,C_crack_like_structural_evolution,0.00207763671875,1.0,36.61681551116334,PASS
914,42,3,"B_diffuse_texture,A_small_low_contrast,A_small_low_contrast",0.10675781250000001,0.7878228782287823,19.840650315684904,PASS
916,42,3,"C_crack_like_structural_evolution,C_crack_like_structural_evolution,A_small_low_contrast",0.008264160156249999,0.904,22.56718378741329,PASS
917,42,1,B_diffuse_texture,0.1376171875,0.9696219080056422,11.018113113823446,PASS
918,42,3,"A_small_low_contrast,C_crack_like_structural_evolution,B_diffuse_texture",0.06554443359374999,0.75625,29.913017823151392,PASS
919,42,1,B_diffuse_texture,0.03406005859375,0.8991943280696101,47.989189233746686,PASS
920,42,3,"A_small_low_contrast,B_diffuse_texture,A_small_low_contrast",0.0097998046875,0.8895306859205776,25.78134112374309,PASS
921,42,1,C_crack_like_structural_evolution,0.00228759765625,1.0,34.44702774813234,PASS
923,42,1,D_boundary_evolution,0.00605712890625,0.9920031987205118,30.58617775090689,PASS
927,42,3,"C_crack_like_structural_evolution,A_small_low_contrast,B_diffuse_texture",0.14937744140624998,0.8656036446469249,19.134053448270674,PASS
929,42,1,D_boundary_evolution,0.006162109375,1.0,31.936628367670366,PASS
93,42,1,A_small_low_contrast,0.00253173828125,0.8978354978354979,6.397299903567984,PASS
930,42,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.0046411132812499995,0.9700665188470067,19.16862357282094,PASS
931,42,2,"A_small_low_contrast,D_boundary_evolution",0.0065112304687499995,0.9836829836829837,19.021438781283315,PASS
934,42,1,D_boundary_evolution,0.0045166015625,1.0,31.721406486486487,PASS
935,42,2,"C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.004833984375,1.0,28.87333808645585,PASS
936,42,2,"A_small_low_contrast,C_crack_like_structural_evolution",0.003818359375,0.9107981220657277,20.297919200597033,PASS
938,42,3,"C_crack_like_structural_evolution,A_small_low_contrast,A_small_low_contrast",0.007158203125,0.9601181683899557,14.356739905231954,PASS
94,42,2,"B_diffuse_texture,A_small_low_contrast",0.12214111328124999,0.966497461928934,27.722657276860247,PASS
941,42,2,"A_small_low_contrast,C_crack_like_structural_evolution",0.00343017578125,0.8403361344537815,22.173335143288075,PASS
942,42,1,B_diffuse_texture,0.0235595703125,0.9727822580645161,26.43110549222798,PASS
943,42,1,B_diffuse_texture,0.0309521484375,0.9643998174349612,24.2266945890519,PASS
944,42,3,"B_diffuse_texture,C_crack_like_structural_evolution,B_diffuse_texture",0.13602783203125,0.958848843464228,23.156820060438104,PASS
945,42,3,"C_crack_like_structural_evolution,B_diffuse_texture,C_crack_like_structural_evolution",0.054638671875,0.9733606557377049,21.240564730539962,PASS
947,42,1,A_small_low_contrast,0.00073974609375,0.9805825242718447,7.369636963696367,PASS
949,42,1,A_small_low_contrast,0.00293701171875,0.8234086242299795,6.258520365752287,PASS
95,42,3,"D_boundary_evolution,B_diffuse_texture,D_boundary_evolution",0.031953125,0.9626238690219733,42.35936651577391,PASS
950,42,1,A_small_low_contrast,0.00286865234375,0.8710155670867309,6.4297872340425535,PASS
952,42,3,"B_diffuse_texture,D_boundary_evolution,C_crack_like_structural_evolution",0.177822265625,0.9783149210295822,22.81725012863214,PASS
953,42,1,A_small_low_contrast,0.001865234375,0.9757343550446999,8.193717277486911,PASS
954,42,3,"B_diffuse_texture,D_boundary_evolution,D_boundary_evolution",0.04240966796875,0.9692462311557789,26.000913615336028,PASS
958,42,3,"A_small_low_contrast,C_crack_like_structural_evolution,B_diffuse_texture",0.05314697265625,0.9229340761374187,15.064241966325264,PASS
959,42,2,"B_diffuse_texture,B_diffuse_texture",0.1023095703125,0.9573859945433286,21.608523918698616,PASS
96,42,3,"B_diffuse_texture,C_crack_like_structural_evolution,B_diffuse_texture",0.2448388671875,0.9404173182862053,27.90229286354135,PASS
960,42,2,"A_small_low_contrast,A_small_low_contrast",0.0038330078125,0.9363957597173145,7.827291539866097,PASS
961,42,1,C_crack_like_structural_evolution,0.00462890625,1.0,27.75989556962025,PASS
963,42,1,A_small_low_contrast,0.00275390625,0.9502948609941028,7.48404255319149,PASS
964,42,3,"C_crack_like_structural_evolution,B_diffuse_texture,C_crack_like_structural_evolution",0.15012939453125002,0.9947012420561225,30.61686478507941,PASS
966,42,1,C_crack_like_structural_evolution,0.0035302734375,1.0,28.951793914246192,PASS
968,42,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.07878662109375001,0.9821601524666479,24.309853959037007,PASS
969,42,3,"B_diffuse_texture,B_diffuse_texture,B_diffuse_texture",0.27324951171875,0.966745695033691,35.9596245835364,PASS
97,42,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.1198583984375,0.9861459651160379,19.89614128934342,PASS
970,42,2,"A_small_low_contrast,D_boundary_evolution",0.013623046875000001,0.9752883031301482,17.14695661479443,PASS
971,42,3,"C_crack_like_structural_evolution,D_boundary_evolution,B_diffuse_texture",0.12062500000000001,0.9714880156253317,23.690034658359966,PASS
973,42,3,"A_small_low_contrast,D_boundary_evolution,A_small_low_contrast",0.01232666015625,0.8686224489795918,13.788665343718847,PASS
974,42,3,"C_crack_like_structural_evolution,C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.009421386718749999,1.0,31.298366599403703,PASS
976,42,3,"B_diffuse_texture,B_diffuse_texture,D_boundary_evolution",0.03614501953125,0.929419113054341,15.183046186325894,PASS
977,42,1,C_crack_like_structural_evolution,0.0011865234375,1.0,39.62847942386831,PASS
98,42,3,"A_small_low_contrast,B_diffuse_texture,C_crack_like_structural_evolution",0.10237548828125,0.9594771241830066,41.50592279941089,PASS
980,42,1,A_small_low_contrast,0.00088623046875,0.9603174603174603,7.862258953168044,PASS
981,42,3,"A_small_low_contrast,C_crack_like_structural_evolution,A_small_low_contrast",0.00651611328125,0.8649940262843488,14.345861293225667,PASS
984,42,1,C_crack_like_structural_evolution,0.00364013671875,1.0,35.223512407780014,PASS
985,42,2,"B_diffuse_texture,A_small_low_contrast",0.11375,0.9415730337078652,28.75380303617913,PASS
986,42,3,"A_small_low_contrast,D_boundary_evolution,D_boundary_evolution",0.02431640625,0.9181532004197271,26.63413706147502,PASS
99,42,3,"C_crack_like_structural_evolution,B_diffuse_texture,D_boundary_evolution",0.12740234375,0.994190329846128,49.381519473521024,PASS
991,42,2,"D_boundary_evolution,A_small_low_contrast",0.0056591796875,0.841743119266055,15.883238006770698,PASS
992,42,1,B_diffuse_texture,0.01016357421875,0.9607662127855989,10.77276002882536,PASS
995,42,1,C_crack_like_structural_evolution,0.00393310546875,1.0,37.132959652389815,PASS
996,42,3,"B_diffuse_texture,B_diffuse_texture,D_boundary_evolution",0.187255859375,0.9705171475231356,67.86984353440776,PASS
997,42,2,"A_small_low_contrast,A_small_low_contrast",0.00392822265625,0.9288321167883211,7.619650022106315,PASS
998,42,1,B_diffuse_texture,0.0484912109375,0.9375059001227225,39.20757763568623,PASS
999,42,3,"C_crack_like_structural_evolution,A_small_low_contrast,A_small_low_contrast",0.00578125,0.9304635761589404,16.71842227400393,PASS
1,1,1,A_small_low_contrast,0.00285888671875,0.8610294117647059,7.508966695132366,PASS
100,1,1,C_crack_like_structural_evolution,0.00198974609375,0.9690844233055886,13.001565644171778,PASS
1001,1,1,A_small_low_contrast,0.00186767578125,0.9671302149178256,8.437908496732026,PASS
1003,1,1,B_diffuse_texture,0.08694580078125,0.9590918883981472,38.71301075449976,PASS
1004,1,3,"C_crack_like_structural_evolution,A_small_low_contrast,A_small_low_contrast",0.0043798828124999994,0.9628180039138943,17.436229345806233,PASS
1005,1,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.11990478515625,0.9408311718704292,17.71317844711436,PASS
1008,1,3,"B_diffuse_texture,A_small_low_contrast,B_diffuse_texture",0.16534423828125,0.8149171270718232,30.652771963502545,PASS
101,1,1,C_crack_like_structural_evolution,0.0015625,0.9846153846153847,28.7006171875,PASS
102,1,2,"A_small_low_contrast,B_diffuse_texture",0.0682421875,0.8672566371681416,33.698961085670796,PASS
103,1,3,"B_diffuse_texture,A_small_low_contrast,B_diffuse_texture",0.22618408203124998,0.8506493506493507,26.205989012695294,PASS
104,1,3,"A_small_low_contrast,B_diffuse_texture,B_diffuse_texture",0.28291748046875,0.9407894736842105,29.24637147980414,PASS
105,1,3,"A_small_low_contrast,C_crack_like_structural_evolution,B_diffuse_texture",0.07367919921875,0.8684701492537313,15.605521684843884,PASS
106,1,2,"B_diffuse_texture,A_small_low_contrast",0.066376953125,0.9010989010989011,24.537101503784044,PASS
107,1,1,A_small_low_contrast,0.00161865234375,0.9404255319148936,7.957226244343891,PASS
108,1,1,C_crack_like_structural_evolution,0.002470703125,0.9990128331688055,23.83090513833992,PASS
109,1,2,"A_small_low_contrast,B_diffuse_texture",0.052167968749999995,0.931918008784773,73.17595514966517,PASS
110,1,1,D_boundary_evolution,0.00715576171875,0.9996589358799455,31.35763596042306,PASS
111,1,3,"A_small_low_contrast,D_boundary_evolution,B_diffuse_texture",0.08372802734375001,0.9321078191714742,21.592750137871576,PASS
113,1,3,"C_crack_like_structural_evolution,A_small_low_contrast,B_diffuse_texture",0.0653564453125,0.8502340093603744,28.783457674339243,PASS
114,1,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.0061621093750000005,0.8977973568281938,18.50433050153398,PASS
115,1,2,"B_diffuse_texture,B_diffuse_texture",0.19673583984374998,0.97637466025507,36.80822290172287,PASS
117,1,3,"D_boundary_evolution,D_boundary_evolution,A_small_low_contrast",0.013662109375,0.9758793969849247,23.65251133831254,PASS
119,1,1,B_diffuse_texture,0.16092041015625,0.9975784359723336,93.44014931804043,PASS
12,1,1,C_crack_like_structural_evolution,0.0036279296875,1.0,26.009746971736202,PASS
120,1,2,"B_diffuse_texture,C_crack_like_structural_evolution",0.1543359375,0.9781184032263146,18.720920213946254,PASS
123,1,1,D_boundary_evolution,0.0097802734375,0.9937980649962789,34.73354543185222,PASS
124,1,1,B_diffuse_texture,0.02608154296875,0.9891666666666666,48.42443864083123,PASS
129,1,2,"B_diffuse_texture,A_small_low_contrast",0.04567138671875,0.7728494623655914,29.534849852290925,PASS
13,1,1,A_small_low_contrast,0.00111328125,0.8366972477064221,7.543859649122807,PASS
131,1,1,B_diffuse_texture,0.0586181640625,0.9273850907686365,30.10468663057059,PASS
132,1,3,"A_small_low_contrast,C_crack_like_structural_evolution,B_diffuse_texture",0.0835205078125,0.9043760129659644,38.44370223305696,PASS
133,1,2,"D_boundary_evolution,B_diffuse_texture",0.0988623046875,0.9578451283653596,22.606721495544505,PASS
135,1,3,"C_crack_like_structural_evolution,C_crack_like_structural_evolution,A_small_low_contrast",0.0072265625,0.9587458745874587,23.62831100293299,PASS
136,1,3,"D_boundary_evolution,B_diffuse_texture,B_diffuse_texture",0.1201025390625,0.9647697583278902,10.196923178043189,PASS
137,1,3,"B_diffuse_texture,A_small_low_contrast,B_diffuse_texture",0.216357421875,0.9556886227544911,46.69558515266824,PASS
139,1,2,"A_small_low_contrast,A_small_low_contrast",0.004716796875,0.8434704830053668,8.132946003600576,PASS
14,1,1,C_crack_like_structural_evolution,0.00338134765625,1.0,40.64031335740072,PASS
141,1,3,"B_diffuse_texture,B_diffuse_texture,C_crack_like_structural_evolution",0.2181396484375,0.9698805608447291,33.44174898585637,PASS
143,1,1,A_small_low_contrast,0.0024169921875,0.838272650296359,5.915151515151515,PASS
144,1,1,B_diffuse_texture,0.11958740234375,0.9571852894047759,8.048322703795193,PASS
146,1,1,B_diffuse_texture,0.08074462890625,0.9937501877948379,104.98995957427509,PASS
147,1,2,"B_diffuse_texture,C_crack_like_structural_evolution",0.11689208984375,0.9823157984555655,54.62932125863908,PASS
148,1,2,"B_diffuse_texture,B_diffuse_texture",0.24462646484375,0.9355552695920731,51.2381028052078,PASS
149,1,2,"A_small_low_contrast,C_crack_like_structural_evolution",0.0040966796875,0.9172535211267606,20.349220264865288,PASS
15,1,2,"D_boundary_evolution,B_diffuse_texture",0.170283203125,0.969711809574689,37.90528857058189,PASS
151,1,2,"A_small_low_contrast,A_small_low_contrast",0.005688476562499999,0.9147084421235857,7.951923370199566,PASS
153,1,1,D_boundary_evolution,0.00934814453125,0.980035833120041,30.144168190127967,PASS
154,1,2,"C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.00637451171875,1.0,31.464440117663884,PASS
155,1,3,"B_diffuse_texture,C_crack_like_structural_evolution,D_boundary_evolution",0.13398925781249998,0.9809809243760839,28.163824302544068,PASS
156,1,3,"A_small_low_contrast,C_crack_like_structural_evolution,B_diffuse_texture",0.11870605468749999,0.9331476323119777,21.120667173754,PASS
157,1,3,"B_diffuse_texture,B_diffuse_texture,D_boundary_evolution",0.27365478515625,0.9773135457037527,54.933921222729616,PASS
165,1,2,"B_diffuse_texture,D_boundary_evolution",0.06156982421875,0.9680053847879739,31.132752783334386,PASS
166,1,3,"C_crack_like_structural_evolution,C_crack_like_structural_evolution,A_small_low_contrast",0.00547119140625,0.9125964010282777,21.514044488538442,PASS
167,1,3,"D_boundary_evolution,C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.015534667968749999,1.0,34.58552582922815,PASS
168,1,3,"B_diffuse_texture,D_boundary_evolution,B_diffuse_texture",0.163994140625,0.9782437883047267,29.338459317588857,PASS
169,1,3,"A_small_low_contrast,D_boundary_evolution,B_diffuse_texture",0.1385791015625,0.9447576099210823,37.00723867402093,PASS
17,1,2,"B_diffuse_texture,A_small_low_contrast",0.13833984375,0.9060987415295256,7.003705197911835,PASS
170,1,1,B_diffuse_texture,0.15170166015625,0.9563658191220834,32.271723707291954,PASS
171,1,1,A_small_low_contrast,0.0028515625,0.9419354838709677,8.570205479452055,PASS
173,1,1,D_boundary_evolution,0.0072265625,0.999662276258021,22.27418986486487,PASS
175,1,1,B_diffuse_texture,0.14367431640625,0.922513794833208,8.471942021104862,PASS
176,1,1,A_small_low_contrast,0.0015087890625,0.944954128440367,7.394454692556635,PASS
177,1,3,"A_small_low_contrast,B_diffuse_texture,B_diffuse_texture",0.196318359375,0.8274021352313167,19.69031535155514,PASS
179,1,1,B_diffuse_texture,0.11218505859375,0.9810204953031597,65.8492261757089,PASS
18,1,1,B_diffuse_texture,0.0758740234375,0.9858520492323309,11.373985359418239,PASS
180,1,1,A_small_low_contrast,0.00298583984375,0.9614779874213837,7.384300899427637,PASS
182,1,1,A_small_low_contrast,0.00058349609375,0.746875,5.447698744769875,PASS
184,1,3,"C_crack_like_structural_evolution,C_crack_like_structural_evolution,A_small_low_contrast",0.00818115234375,0.8587075575027382,21.722976026433653,PASS
185,1,2,"D_boundary_evolution,B_diffuse_texture",0.12742919921875,0.9691764805918116,21.5477851643625,PASS
188,1,3,"B_diffuse_texture,B_diffuse_texture,D_boundary_evolution",0.077060546875,0.9795685959271169,40.35513489875672,PASS
189,1,1,A_small_low_contrast,0.001796875,0.9328263624841572,6.46875,PASS
190,1,2,"C_crack_like_structural_evolution,A_small_low_contrast",0.00498046875,0.9670487106017192,21.735904639804637,PASS
191,1,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.14332763671874998,0.9889729210612063,23.3556847579467,PASS
192,1,3,"D_boundary_evolution,A_small_low_contrast,B_diffuse_texture",0.1566357421875,0.9499582985821518,35.98482739763788,PASS
193,1,3,"B_diffuse_texture,A_small_low_contrast,D_boundary_evolution",0.17557861328125,0.9428533855460417,16.888177123283114,PASS
195,1,3,"B_diffuse_texture,A_small_low_contrast,A_small_low_contrast",0.0497900390625,0.9517985611510792,9.814144173907048,PASS
196,1,1,A_small_low_contrast,0.00140380859375,0.9395424836601307,6.979130434782609,PASS
197,1,2,"B_diffuse_texture,B_diffuse_texture",0.2224169921875,0.9335809042303305,80.17721253763295,PASS
198,1,2,"A_small_low_contrast,B_diffuse_texture",0.10037841796875001,0.8916201117318435,37.083065721637226,PASS
199,1,1,B_diffuse_texture,0.11169189453125,0.9842939822285334,80.34033760300771,PASS
2,1,2,"D_boundary_evolution,A_small_low_contrast",0.00586669921875,0.9620253164556962,16.858998298123716,PASS
20,1,3,"A_small_low_contrast,B_diffuse_texture,D_boundary_evolution",0.033090820312500005,0.9000999000999002,20.116058355683148,PASS
202,1,1,C_crack_like_structural_evolution,0.00357177734375,1.0,24.091304169514693,PASS
205,1,2,"A_small_low_contrast,A_small_low_contrast",0.0029345703125,0.8655980271270037,7.497917378917382,PASS
