image_stem,seed,edit_index,family,attempt,reasons,mask_area_ratio,bbox_xyxy,bbox_aspect_ratio,relative_bbox_width,relative_bbox_height,perimeter,compactness,connected_components,largest_component_ratio,largest_component_ratio_lower_bound,skeleton_length,elongation_score,boundary_score
303,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00306884765625,"[113, 107, 227, 197]",1.2637362637362637,0.1796875,0.1421875,757.0,0.027564707140662458,6,0.9363564041368337,0.9363564041368337,363,1.2612203921748144,0.6022275258552108
306,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00609375,"[97, 402, 311, 497]",2.2395833333333335,0.3359375,0.15,1164.0,0.02314986615462773,10,0.328125,0.328125,639,1.9287077334590956,0.46634615384615385
332,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00362548828125,"[381, 186, 598, 259]",2.945945945945946,0.340625,0.115625,1008.0,0.018366028480807678,20,0.20202020202020202,0.20202020202020202,577,3.0403259445042834,0.6787878787878788
333,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.01367431640625,"[235, 395, 524, 532]",2.101449275362319,0.453125,0.215625,2123.0,0.01561620308871251,2,0.6331012319228709,0.6331012319228709,965,2.0721408839135553,0.3790394572397786
354,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.01080322265625,"[353, 169, 638, 297]",2.2170542635658914,0.446875,0.2015625,1926.0,0.014990308595752969,3,0.8583050847457627,0.8583050847457627,1048,2.122773691023412,0.4352542372881356
354,0,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.012451171875,"[130, 49, 377, 187]",1.7841726618705036,0.3875,0.2171875,1741.0,0.021143773502995063,2,0.8119607843137255,0.8119607843137255,853,1.7312776184074214,0.34137254901960784
360,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00531005859375,"[280, 499, 565, 614]",2.4655172413793105,0.446875,0.18125,1473.0,0.01259689854642271,17,0.8147126436781609,0.8147126436781609,826,2.642796497062475,0.6772413793103448
360,0,2,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0166455078125,"[16, 36, 238, 228]",1.1554404145077721,0.3484375,0.3015625,1930.0,0.02300129261153342,2,0.589615723085949,0.589615723085949,852,1.1156479420861491,0.28307421531240834
366,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0063671875,"[222, 297, 414, 390]",2.0531914893617023,0.3015625,0.146875,1099.0,0.027134515174477188,24,0.682898773006135,0.682898773006135,582,2.4236617462426073,0.4213957055214724
366,0,2,D_boundary_evolution,2,D_COMPONENT_COUNT,0.014765625,"[78, 366, 370, 504]",2.1079136690647484,0.4578125,0.2171875,1961.0,0.019763618369434018,2,0.9990079365079365,0.9990079365079365,968,2.120271419096863,0.32423941798941797
394,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00320068359375,"[158, 93, 291, 195]",1.3009708737864079,0.209375,0.1609375,880.0,0.02127390479781105,12,0.6834477498093059,0.6834477498093059,472,1.3348899234515252,0.6712433257055682
394,0,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00446044921875,"[217, 47, 448, 173]",1.8267716535433072,0.3625,0.1984375,1384.0,0.011986054032269187,21,0.331143951833607,0.331143951833607,767,1.6296676774143095,0.7575259989053093
394,0,0,D_boundary_evolution,3,D_COMPONENT_COUNT,0.00510498046875,"[316, 80, 523, 262]",1.1366120218579234,0.325,0.2859375,1641.0,0.009757683668392709,4,0.9966523194643712,0.9966523194643712,764,1.0540617771146128,0.7847919655667145
