seed,image_stem,hard_score,FN,wrong_class,localization_failure,FP,is_hard
44,285,3,1,0,0,0,False
44,286,10,3,0,0,1,True
44,287,6,2,0,0,0,True
44,288,2,0,0,0,2,False
44,289,7,0,0,2,3,True
44,290,6,2,0,0,0,True
44,291,6,2,0,0,0,True
44,292,4,1,0,0,1,True
44,294,0,0,0,0,0,False
44,295,1,0,0,0,1,False
44,296,2,0,0,0,2,False
44,297,5,0,1,1,1,True
44,299,3,1,0,0,0,False
44,300,5,0,1,1,1,True
44,301,3,1,0,0,0,False
44,302,3,1,0,0,0,False
44,303,0,0,0,0,0,False
44,304,4,1,0,0,1,True
44,305,8,1,0,2,1,True
44,306,3,1,0,0,0,False
44,307,8,0,0,3,2,True
44,311,8,2,0,0,2,True
44,312,3,1,0,0,0,False
44,313,9,2,0,1,1,True
44,314,11,0,0,3,5,True
44,315,9,3,0,0,0,True
44,316,10,2,0,1,2,True
44,317,0,0,0,0,0,False
44,318,0,0,0,0,0,False
44,319,3,0,0,1,1,False
44,321,1,0,0,0,1,False
44,322,5,0,0,0,5,True
44,325,0,0,0,0,0,False
44,326,1,0,0,0,1,False
44,327,1,0,0,0,1,False
44,329,5,1,0,1,0,True
44,331,30,10,0,0,0,True
44,332,2,0,0,0,2,False
44,333,2,0,0,0,2,False
44,334,0,0,0,0,0,False
44,335,6,1,0,1,1,True
44,336,3,0,0,1,1,False
44,337,8,1,0,2,1,True
44,338,4,1,0,0,1,True
44,339,4,0,0,2,0,True
44,341,0,0,0,0,0,False
44,343,6,1,1,0,1,True
44,344,4,1,0,0,1,True
44,345,4,0,0,1,2,True
44,346,9,2,0,1,1,True
44,347,3,1,0,0,0,False
44,348,2,0,0,0,2,False
44,349,0,0,0,0,0,False
44,352,6,0,0,2,2,True
44,354,3,1,0,0,0,False
44,355,2,0,0,1,0,False
44,356,9,3,0,0,0,True
44,358,5,0,0,1,3,True
44,359,2,0,0,1,0,False
44,360,3,1,0,0,0,False
44,362,0,0,0,0,0,False
44,363,3,1,0,0,0,False
44,365,1,0,0,0,1,False
44,366,1,0,0,0,1,False
44,367,0,0,0,0,0,False
44,368,3,1,0,0,0,False
44,369,0,0,0,0,0,False
44,374,8,0,1,2,2,True
44,376,3,1,0,0,0,False
44,377,8,0,1,2,2,True
44,378,2,0,0,1,0,False
44,379,4,0,0,2,0,True
44,382,0,0,0,0,0,False
44,384,9,0,0,2,5,True
44,385,3,0,0,1,1,False
44,386,5,1,0,0,2,True
44,387,2,0,0,1,0,False
44,388,7,0,0,3,1,True
44,389,9,3,0,0,0,True
44,391,14,2,0,3,2,True
44,393,6,2,0,0,0,True
44,394,3,1,0,0,0,False
44,395,6,2,0,0,0,True
44,396,5,0,0,2,1,True
44,397,2,0,0,1,0,False
44,398,11,0,1,4,1,True
44,399,4,0,0,2,0,True
44,401,5,0,0,1,3,True
44,402,3,1,0,0,0,False
44,404,1,0,0,0,1,False
44,405,3,1,0,0,0,False
44,407,7,2,0,0,1,True
44,410,3,1,0,0,0,False
44,412,3,0,0,1,1,False
44,413,15,0,0,7,1,True
44,415,2,0,0,1,0,False
44,417,6,1,1,0,1,True
44,418,0,0,0,0,0,False
44,419,0,0,0,0,0,False
44,420,1,0,0,0,1,False
44,421,8,0,0,4,0,True
44,423,6,2,0,0,0,True
44,424,6,2,0,0,0,True
44,426,9,0,0,4,1,True
44,427,0,0,0,0,0,False
44,428,3,0,0,1,1,False
44,429,3,1,0,0,0,False
44,431,6,2,0,0,0,True
44,434,0,0,0,0,0,False
44,435,3,0,0,1,1,False
44,436,0,0,0,0,0,False
44,439,0,0,0,0,0,False
44,441,0,0,0,0,0,False
44,442,0,0,0,0,0,False
44,443,1,0,0,0,1,False
44,444,0,0,0,0,0,False
44,445,0,0,0,0,0,False
44,446,0,0,0,0,0,False
44,447,0,0,0,0,0,False
44,448,0,0,0,0,0,False
44,449,0,0,0,0,0,False
44,450,0,0,0,0,0,False
44,451,0,0,0,0,0,False
44,452,0,0,0,0,0,False
44,455,0,0,0,0,0,False
44,456,1,0,0,0,1,False
44,457,0,0,0,0,0,False
44,458,0,0,0,0,0,False
44,459,0,0,0,0,0,False
44,461,0,0,0,0,0,False
44,462,0,0,0,0,0,False
44,463,0,0,0,0,0,False
44,465,0,0,0,0,0,False
44,466,1,0,0,0,1,False
44,467,0,0,0,0,0,False
44,468,1,0,0,0,1,False
44,469,1,0,0,0,1,False
44,470,1,0,0,0,1,False
44,471,0,0,0,0,0,False
44,474,1,0,0,0,1,False
44,476,2,0,0,1,0,False
44,478,0,0,0,0,0,False
44,480,1,0,0,0,1,False
44,481,0,0,0,0,0,False
44,482,10,0,0,4,2,True
44,483,2,0,0,0,2,False
44,485,0,0,0,0,0,False
44,486,2,0,0,0,2,False
44,487,3,0,0,1,1,False
44,488,3,0,0,1,1,False
44,489,8,0,0,3,2,True
44,492,2,0,0,0,2,False
44,494,0,0,0,0,0,False
44,495,0,0,0,0,0,False
44,497,1,0,0,0,1,False
44,498,0,0,0,0,0,False
44,499,2,0,0,0,2,False
44,501,0,0,0,0,0,False
44,503,2,0,0,0,2,False
44,505,2,0,0,0,2,False
44,508,5,0,0,1,3,True
44,510,3,0,0,1,1,False
44,512,1,0,0,0,1,False
44,513,1,0,0,0,1,False
44,514,1,0,0,0,1,False
44,518,2,0,0,0,2,False
44,520,0,0,0,0,0,False
44,524,0,0,0,0,0,False
44,526,0,0,0,0,0,False
44,528,2,0,0,0,2,False
44,529,1,0,0,0,1,False
44,530,1,0,0,0,1,False
44,531,1,0,0,0,1,False
44,532,1,0,0,0,1,False
44,533,0,0,0,0,0,False
44,534,1,0,0,0,1,False
44,536,1,0,0,0,1,False
44,537,2,0,0,0,2,False
44,541,7,0,0,2,3,True
44,542,1,0,0,0,1,False
44,544,0,0,0,0,0,False
44,546,0,0,0,0,0,False
44,547,1,0,0,0,1,False
44,551,0,0,0,0,0,False
44,553,2,0,0,1,0,False
44,556,0,0,0,0,0,False
44,557,0,0,0,0,0,False
44,558,0,0,0,0,0,False
44,559,3,0,0,1,1,False
44,560,0,0,0,0,0,False
44,562,7,0,0,1,5,True
44,563,2,0,0,0,2,False
44,567,1,0,0,0,1,False
44,569,0,0,0,0,0,False
44,570,0,0,0,0,0,False
44,572,5,0,0,2,1,True
44,573,0,0,0,0,0,False
44,578,3,0,0,1,1,False
44,579,0,0,0,0,0,False
44,580,1,0,0,0,1,False
44,582,0,0,0,0,0,False
44,583,1,0,0,0,1,False
44,584,11,0,0,3,5,True
44,585,0,0,0,0,0,False
44,586,0,0,0,0,0,False
44,588,0,0,0,0,0,False
44,590,0,0,0,0,0,False
44,591,1,0,0,0,1,False
44,593,3,0,0,1,1,False
44,594,0,0,0,0,0,False
44,602,2,0,0,0,2,False
44,604,3,0,0,0,3,False
44,606,0,0,0,0,0,False
44,608,3,0,0,0,3,False
44,610,1,0,0,0,1,False
44,612,0,0,0,0,0,False
44,613,0,0,0,0,0,False
44,615,1,0,0,0,1,False
44,616,0,0,0,0,0,False
44,617,2,0,0,1,0,False
44,618,3,0,0,1,1,False
44,619,0,0,0,0,0,False
44,620,4,0,0,0,4,True
44,621,0,0,0,0,0,False
44,622,0,0,0,0,0,False
44,623,6,0,0,2,2,True
44,624,15,0,0,6,3,True
44,626,3,0,0,1,1,False
44,627,4,0,0,1,2,True
44,628,0,0,0,0,0,False
44,630,1,0,0,0,1,False
44,631,0,0,0,0,0,False
44,632,0,0,0,0,0,False
44,633,8,0,0,3,2,True
44,634,0,0,0,0,0,False
44,636,0,0,0,0,0,False
44,637,0,0,0,0,0,False
44,638,0,0,0,0,0,False
44,639,0,0,0,0,0,False
44,640,0,0,0,0,0,False
44,641,0,0,0,0,0,False
44,642,0,0,0,0,0,False
44,645,0,0,0,0,0,False
44,650,0,0,0,0,0,False
44,652,0,0,0,0,0,False
44,653,0,0,0,0,0,False
44,654,0,0,0,0,0,False
44,655,0,0,0,0,0,False
44,656,0,0,0,0,0,False
44,658,0,0,0,0,0,False
44,659,0,0,0,0,0,False
44,661,3,1,0,0,0,False
44,663,0,0,0,0,0,False
44,665,0,0,0,0,0,False
44,666,0,0,0,0,0,False
44,667,0,0,0,0,0,False
44,670,0,0,0,0,0,False
44,672,0,0,0,0,0,False
44,674,0,0,0,0,0,False
44,675,0,0,0,0,0,False
44,676,0,0,0,0,0,False
44,678,0,0,0,0,0,False
44,679,1,0,0,0,1,False
44,682,0,0,0,0,0,False
44,683,0,0,0,0,0,False
44,685,0,0,0,0,0,False
44,688,0,0,0,0,0,False
44,689,0,0,0,0,0,False
44,690,0,0,0,0,0,False
44,694,0,0,0,0,0,False
44,695,0,0,0,0,0,False
44,696,0,0,0,0,0,False
44,697,0,0,0,0,0,False
44,698,0,0,0,0,0,False
44,699,0,0,0,0,0,False
44,701,0,0,0,0,0,False
44,702,0,0,0,0,0,False
44,705,0,0,0,0,0,False
44,707,0,0,0,0,0,False
44,708,0,0,0,0,0,False
44,710,0,0,0,0,0,False
44,711,0,0,0,0,0,False
44,712,0,0,0,0,0,False
44,714,0,0,0,0,0,False
44,715,1,0,0,0,1,False
44,716,0,0,0,0,0,False
44,717,3,1,0,0,0,False
44,719,0,0,0,0,0,False
44,721,0,0,0,0,0,False
44,724,0,0,0,0,0,False
44,726,0,0,0,0,0,False
44,727,0,0,0,0,0,False
44,728,0,0,0,0,0,False
44,731,0,0,0,0,0,False
44,732,0,0,0,0,0,False
44,733,0,0,0,0,0,False
44,734,0,0,0,0,0,False
44,735,0,0,0,0,0,False
44,737,0,0,0,0,0,False
44,740,0,0,0,0,0,False
44,741,0,0,0,0,0,False
44,742,0,0,0,0,0,False
44,744,0,0,0,0,0,False
44,745,0,0,0,0,0,False
44,746,0,0,0,0,0,False
44,747,0,0,0,0,0,False
44,748,0,0,0,0,0,False
44,751,0,0,0,0,0,False
44,754,0,0,0,0,0,False
44,755,3,1,0,0,0,False
44,756,0,0,0,0,0,False
44,758,2,0,0,0,2,False
44,760,0,0,0,0,0,False
44,761,0,0,0,0,0,False
44,762,1,0,0,0,1,False
44,763,0,0,0,0,0,False
44,764,0,0,0,0,0,False
44,765,3,1,0,0,0,False
44,766,3,0,1,0,1,False
44,769,3,1,0,0,0,False
44,770,1,0,0,0,1,False
44,771,3,0,1,0,1,False
44,772,3,1,0,0,0,False
44,774,3,0,1,0,1,False
44,777,0,0,0,0,0,False
44,779,0,0,0,0,0,False
44,780,0,0,0,0,0,False
44,782,0,0,0,0,0,False
44,784,0,0,0,0,0,False
44,786,1,0,0,0,1,False
44,787,2,0,0,0,2,False
44,788,0,0,0,0,0,False
44,789,0,0,0,0,0,False
44,790,0,0,0,0,0,False
44,791,0,0,0,0,0,False
44,794,0,0,0,0,0,False
44,795,3,1,0,0,0,False
44,796,1,0,0,0,1,False
44,797,0,0,0,0,0,False
44,798,0,0,0,0,0,False
44,799,0,0,0,0,0,False
44,800,0,0,0,0,0,False
44,802,0,0,0,0,0,False
44,803,3,1,0,0,0,False
44,804,0,0,0,0,0,False
44,805,0,0,0,0,0,False
44,807,0,0,0,0,0,False
44,808,0,0,0,0,0,False
44,809,0,0,0,0,0,False
44,810,0,0,0,0,0,False
44,812,0,0,0,0,0,False
44,813,0,0,0,0,0,False
44,814,0,0,0,0,0,False
44,815,3,1,0,0,0,False
44,816,0,0,0,0,0,False
44,817,0,0,0,0,0,False
44,818,0,0,0,0,0,False
44,821,0,0,0,0,0,False
44,822,3,0,1,0,1,False
44,825,0,0,0,0,0,False
44,826,0,0,0,0,0,False
44,828,0,0,0,0,0,False
44,830,1,0,0,0,1,False
44,831,0,0,0,0,0,False
44,832,0,0,0,0,0,False
44,833,0,0,0,0,0,False
44,834,0,0,0,0,0,False
44,835,1,0,0,0,1,False
44,838,0,0,0,0,0,False
44,844,0,0,0,0,0,False
44,847,1,0,0,0,1,False
44,850,0,0,0,0,0,False
44,852,0,0,0,0,0,False
44,854,0,0,0,0,0,False
44,855,0,0,0,0,0,False
44,856,0,0,0,0,0,False
44,859,2,0,0,1,0,False
44,860,0,0,0,0,0,False
44,861,0,0,0,0,0,False
44,862,0,0,0,0,0,False
44,866,0,0,0,0,0,False
44,868,0,0,0,0,0,False
44,871,0,0,0,0,0,False
44,872,1,0,0,0,1,False
44,873,0,0,0,0,0,False
44,874,0,0,0,0,0,False
44,875,0,0,0,0,0,False
44,879,0,0,0,0,0,False
44,883,0,0,0,0,0,False
44,884,0,0,0,0,0,False
44,885,3,1,0,0,0,False
44,886,0,0,0,0,0,False
44,887,0,0,0,0,0,False
44,889,0,0,0,0,0,False
44,890,0,0,0,0,0,False
44,891,0,0,0,0,0,False
44,892,0,0,0,0,0,False
44,893,0,0,0,0,0,False
44,894,1,0,0,0,1,False
44,895,0,0,0,0,0,False
44,898,0,0,0,0,0,False
44,899,0,0,0,0,0,False
44,900,1,0,0,0,1,False
44,901,0,0,0,0,0,False
44,902,0,0,0,0,0,False
44,903,0,0,0,0,0,False
44,904,0,0,0,0,0,False
44,908,0,0,0,0,0,False
44,909,0,0,0,0,0,False
44,911,0,0,0,0,0,False
44,912,0,0,0,0,0,False
44,913,0,0,0,0,0,False
44,914,0,0,0,0,0,False
44,916,0,0,0,0,0,False
44,917,0,0,0,0,0,False
44,918,0,0,0,0,0,False
44,919,0,0,0,0,0,False
44,920,0,0,0,0,0,False
44,921,0,0,0,0,0,False
44,923,0,0,0,0,0,False
44,927,0,0,0,0,0,False
44,929,0,0,0,0,0,False
44,930,0,0,0,0,0,False
44,931,0,0,0,0,0,False
44,934,0,0,0,0,0,False
44,935,0,0,0,0,0,False
44,936,0,0,0,0,0,False
44,938,0,0,0,0,0,False
44,941,0,0,0,0,0,False
44,942,0,0,0,0,0,False
44,943,0,0,0,0,0,False
44,944,0,0,0,0,0,False
44,945,1,0,0,0,1,False
44,947,0,0,0,0,0,False
44,949,0,0,0,0,0,False
44,950,0,0,0,0,0,False
44,952,0,0,0,0,0,False
44,953,0,0,0,0,0,False
44,954,0,0,0,0,0,False
44,958,0,0,0,0,0,False
44,959,0,0,0,0,0,False
44,960,0,0,0,0,0,False
44,961,0,0,0,0,0,False
44,963,0,0,0,0,0,False
44,964,0,0,0,0,0,False
44,966,0,0,0,0,0,False
44,968,0,0,0,0,0,False
44,969,2,0,0,0,2,False
44,970,0,0,0,0,0,False
44,971,0,0,0,0,0,False
44,973,0,0,0,0,0,False
44,974,2,0,0,0,2,False
44,976,0,0,0,0,0,False
44,977,0,0,0,0,0,False
44,980,0,0,0,0,0,False
44,981,0,0,0,0,0,False
44,984,0,0,0,0,0,False
44,985,1,0,0,0,1,False
44,986,0,0,0,0,0,False
44,991,3,1,0,0,0,False
44,992,2,0,0,1,0,False
44,995,0,0,0,0,0,False
44,996,0,0,0,0,0,False
44,997,0,0,0,0,0,False
44,998,0,0,0,0,0,False
44,999,0,0,0,0,0,False
44,1001,2,0,0,1,0,False
44,1003,0,0,0,0,0,False
44,1004,0,0,0,0,0,False
44,1005,0,0,0,0,0,False
44,1008,0,0,0,0,0,False
