epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67242,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0031746,0.0031746,0.0714286
2,32.5697,3.78606,5.19714,2171.38,4.15888,0,0,0,0,0,0,0,0,0,3.70219,5.21511,5699.01,4.15888,0,0.00629317,0.00629317,0.0412138
3,56.3316,3.74464,5.19344,2056.99,4.15888,0,0,0,0,0,0,0,0,0,3.70219,5.21511,5699.01,4.15888,0,0.00919175,0.00919175,0.010779
4,79.7936,3.75886,5.2012,2261.43,4.15888,0,0,0,0,0,0,0,0,0,3.70219,5.21511,5699.01,4.15888,0,0.00901,0.00901,0.00901
5,102.311,3.72687,5.19725,2237.57,4.15888,0,0,0,0,0,0,0,0,0,3.70219,5.21511,5699.01,4.15888,0,0.00868,0.00868,0.00868
6,123.789,3.86212,5.20097,2417.05,4.15888,0,0,0,0,0,0,0,0,0,3.70219,5.21511,5699.01,4.15888,0,0.00835,0.00835,0.00835
7,144.386,3.79826,5.20502,2138.33,4.15888,0,0,0,0,0,0,0,0,0,3.70219,5.21511,5699.01,4.15888,0,0.00802,0.00802,0.00802
8,164.318,3.82082,5.21403,2321.09,4.15888,0,0,0,0,0,0,0,0,0,3.70219,5.21511,5699.01,4.15888,0,0.00769,0.00769,0.00769
