epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,208.046,1.85064,3.29668,2.50986,1.78844,0,0.46246,0.38967,0.36836,0.15832,0.44484,0.37239,0.3518,0.17358,2.18777,3.33451,2.84688,1.96864,0,0.007129,0.007129,0.007129
31,214.061,1.87191,3.25159,2.44331,1.78058,0,0.47732,0.36986,0.39245,0.23409,0.44409,0.34808,0.36623,0.18643,2.07659,3.27848,2.96491,1.87628,0,0.00703,0.00703,0.00703
32,220.357,1.82414,3.18809,2.42763,1.73859,0,0.50546,0.34534,0.36281,0.20176,0.48002,0.33881,0.33966,0.17202,2.0836,3.23588,2.48979,1.88446,0,0.006931,0.006931,0.006931
33,226.439,1.84991,3.24644,2.465,1.72813,0,0.46075,0.34055,0.32,0.1663,0.45484,0.33207,0.3085,0.15652,2.16592,3.31051,2.75111,1.84644,0,0.006832,0.006832,0.006832
34,232.509,1.8163,3.22884,2.43666,1.73152,0,0.39175,0.30657,0.2946,0.15079,0.38291,0.27132,0.28128,0.15636,2.14089,3.33949,2.84128,1.87848,0,0.006733,0.006733,0.006733
35,239.015,1.82085,3.26778,2.44733,1.7664,0,0.4868,0.37976,0.38255,0.17776,0.50038,0.3298,0.35155,0.19095,2.11868,3.24778,2.96258,1.92208,0,0.006634,0.006634,0.006634
36,245.167,1.81704,3.20307,2.3851,1.72174,0,0.44466,0.35734,0.36365,0.14456,0.40251,0.34909,0.33254,0.12853,2.20431,3.47415,2.98223,1.92968,0,0.006535,0.006535,0.006535
37,251.049,1.81259,3.24474,2.3728,1.71608,0,0.25878,0.38476,0.32786,0.17263,0.33831,0.25622,0.30101,0.15774,2.16381,3.55283,3.36154,1.90892,0,0.006436,0.006436,0.006436
38,257.197,1.81376,3.13839,2.35971,1.68862,0,0.6375,0.31522,0.37029,0.17028,0.65267,0.32935,0.3691,0.16999,2.11101,3.31433,2.87512,1.91968,0,0.006337,0.006337,0.006337
39,263.271,1.7802,3.08417,2.31865,1.7004,0,0.58018,0.39008,0.40127,0.22031,0.56528,0.37179,0.38495,0.20567,2.02917,3.30034,3.00321,1.86621,0,0.006238,0.006238,0.006238
40,269.339,1.80008,3.21321,2.37777,1.73276,0,0.53336,0.39237,0.40619,0.21349,0.6418,0.30267,0.35783,0.206,2.00562,3.37459,2.71461,1.82396,0,0.006139,0.006139,0.006139
41,275.79,1.76316,3.19697,2.32369,1.70583,0,0.48618,0.36566,0.40533,0.19652,0.63224,0.33945,0.37849,0.20436,2.09706,3.17781,2.73042,1.8741,0,0.00604,0.00604,0.00604
42,281.888,1.75067,3.06492,2.259,1.66712,0,0.56044,0.4283,0.41905,0.2171,0.53424,0.39642,0.38373,0.22005,1.94093,3.14554,2.30873,1.71851,0,0.005941,0.005941,0.005941
43,288.22,1.74211,3.12925,2.26861,1.68082,0,0.50884,0.45542,0.4024,0.20458,0.49669,0.39207,0.36676,0.18718,1.95863,3.28557,2.54859,1.79092,0,0.005842,0.005842,0.005842
44,294.396,1.70083,3.1294,2.29963,1.68374,0,0.6312,0.28098,0.37373,0.17922,0.61532,0.24648,0.32684,0.15706,2.02917,3.27321,3.40539,1.84737,0,0.005743,0.005743,0.005743
45,300.524,1.75645,3.1375,2.29682,1.69682,0,0.60298,0.34123,0.40891,0.20763,0.60966,0.29913,0.36251,0.17974,1.98377,3.22462,2.81189,1.79303,0,0.005644,0.005644,0.005644
46,307.246,1.66882,3.08592,2.19964,1.62215,0,0.46394,0.38699,0.39178,0.19105,0.50083,0.36386,0.35652,0.18961,2.07125,3.22486,2.59278,1.86348,0,0.005545,0.005545,0.005545
47,313.126,1.68407,2.9915,2.1463,1.61054,0,0.59881,0.40084,0.45594,0.23868,0.57382,0.36336,0.39368,0.22684,1.9149,3.14109,2.22905,1.72907,0,0.005446,0.005446,0.005446
48,318.987,1.70253,3.09621,2.2458,1.66829,0,0.68516,0.42605,0.47378,0.23737,0.71737,0.37876,0.42384,0.24175,2.08602,3.23581,2.1527,1.84811,0,0.005347,0.005347,0.005347
