seed,model_type,Mask_P,Mask_R,Mask_mAP50,Mask_mAP50_95,Box_P,Box_R,Box_mAP50,Box_mAP50_95,TP,FP,FN,fixed_F1,tiny_R,small_R,medium_R,large_R,Burn_R,Burn_AP50_95,Crack_R,Crack_AP50_95,corrosion_R,corrosion_AP50_95,checkpoint_sha256,status,test_accessed
42,baseline100,0.6629227853627156,0.5230236529730811,0.5319196336254952,0.29898123412927496,0.6905834635943638,0.5814337730849287,0.5937538324254982,0.33783038924428727,123.0,99.0,173.0,0.4749034749034749,0.4077669902912621,0.5526315789473685,0.3870967741935484,0.2727272727272727,0.25925925925925924,0.11245406024906195,0.27882727849166034,0.04674762291226429,0.3211009174311927,0.1978312180941872,c007fbefffcbe474384a12e3f9bf85a1308b159a22df69ac2be099a33e0311e7,PASS,False
42,uniform_control30,0.7277493965582085,0.43759266732922925,0.514963101505378,0.2809637607266954,0.7781078623439779,0.5189601106019136,0.6175300515374198,0.35726124381934754,117.0,104.0,179.0,0.4526112185686654,0.36893203883495146,0.5394736842105263,0.41935483870967744,0.21818181818181817,0.18518518518518517,0.09941726153254402,0.125,0.043766878015432595,0.25688073394495414,0.159730114023821,bfdd776ddeac3d5e062d3b9a2d124b5092544652450e650571b24335f47070a6,PASS,False
42,hard_treatment30,0.5791903261537934,0.5584482795346376,0.5357743104404221,0.3113180661075626,0.5806028225256087,0.6480403158728848,0.5923105319246013,0.333532686074889,117.0,80.0,179.0,0.4746450304259635,0.39805825242718446,0.47368421052631576,0.43548387096774194,0.23636363636363636,0.345679012345679,0.12441346134341899,0.20833333333333334,0.049069935606229756,0.29357798165137616,0.1664142845516502,2d962735de9dd3f596780cc4e3bab6e745b06b5ae23aa4bc56f1f554c98f3d06,PASS,False
43,baseline100,0.7122006946487235,0.48892184826197743,0.5252998124449814,0.29950558246122316,0.7702089245950104,0.5292216754867034,0.6064735994298867,0.32506341906654435,127.0,100.0,169.0,0.48565965583174,0.36893203883495146,0.5394736842105263,0.5,0.3090909090909091,0.2345679012345679,0.10842055151414423,0.20833333333333334,0.0267068700676191,0.2778581967864124,0.1933617341674081,09f115c80de4d624f4fb36ee8ede1a65a372cce395d963a8e02e4b6bd65e732c,PASS,False
43,uniform_control30,0.7015648607281467,0.5242825960470945,0.5899812952521836,0.32839910651463605,0.7361281070096151,0.5844758147086466,0.6518974500914564,0.3508300885024641,126.0,102.0,170.0,0.48091603053435117,0.3592233009708738,0.5394736842105263,0.5161290322580645,0.2909090909090909,0.2962962962962963,0.11990326746091304,0.2916666666666667,0.06160062796094108,0.3668337290887881,0.20733897450907196,8a1b785ecc3125a0d34b4c120d04aca10a46d7296c6a0b763b7b3629442924cd,PASS,False
43,hard_treatment30,0.7214204343050934,0.5287151997019166,0.6123445876592134,0.32172581608685324,0.7471692786990725,0.546126268255939,0.6335006091809007,0.37291028027529294,136.0,118.0,160.0,0.49454545454545457,0.3883495145631068,0.6052631578947368,0.5483870967741935,0.2909090909090909,0.2716049382716049,0.12052911622851739,0.5597009893630265,0.11275988511952388,0.3302752293577982,0.19643294940241057,8a97ebdf1a84ba43adb9fd7a4ea25d8990b7a81daee85b9a0b08bd5b69f62c69,PASS,False
44,baseline100,0.7539848824742483,0.49452691608814625,0.5801919739236168,0.3251567516159603,0.6071120747128639,0.5905794508811617,0.6195013117463967,0.36686832527496005,123.0,87.0,173.0,0.48616600790513836,0.33980582524271846,0.5131578947368421,0.5161290322580645,0.3090909090909091,0.2345679012345679,0.13329145906101145,0.20833333333333334,0.07598839849815656,0.2354114585793453,0.18731149705197536,2dbec80d31d978bdadcd436cf243921be81903284e00b08c5beb75d9808948e9,PASS,False
44,uniform_control30,0.7223671177346852,0.5795102674010854,0.6138443231444285,0.3417600378767482,0.7383873900949371,0.5998265445138253,0.6422206168500815,0.38174245604909424,141.0,118.0,155.0,0.5081081081081081,0.42718446601941745,0.5921052631578947,0.5967741935483871,0.2727272727272727,0.2345679012345679,0.10784357071024023,0.5,0.08746515835010457,0.3486238532110092,0.19917692603524792,0c9eec4b3588dbe6b428641d70414d53776dd6cbb0c730103ede1cf381187671,PASS,False
44,hard_treatment30,0.7771236631100867,0.4582676499933213,0.5351177445966027,0.3014491938472924,0.6502197961305642,0.5518620246895231,0.5888028908646266,0.3506889143780638,115.0,92.0,181.0,0.4572564612326044,0.3592233009708738,0.5263157894736842,0.41935483870967744,0.21818181818181817,0.19753086419753085,0.10834215994579718,0.16666666666666666,0.063290497148523,0.25688073394495414,0.164638257127886,af7d614718958cbc839d2a24a2416d660375cd7c3a1912d90c81af136aab6207,PASS,False
